Park_name,Park_id,Entrance,Start_time,Usage_class,Day_type
Battle Creek Regional Park,51,9,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,9,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,9,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,9,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,9,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,9,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,9,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,9,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,9,04:00 PM,Low,Weekday
Battle Creek Regional Park,51,9,04:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,9,06:00 PM,Low,Weekday
Battle Creek Regional Park,51,9,06:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,10,08:00 AM,High,Weekday
Battle Creek Regional Park,51,10,08:00 AM,High,Weekend_holiday
Battle Creek Regional Park,51,10,10:00 AM,High,Weekday
Battle Creek Regional Park,51,10,10:00 AM,High,Weekend_holiday
Battle Creek Regional Park,51,10,12:00 PM,High,Weekday
Battle Creek Regional Park,51,10,12:00 PM,High,Weekend_holiday
Battle Creek Regional Park,51,10,02:00 PM,High,Weekday
Battle Creek Regional Park,51,10,02:00 PM,High,Weekend_holiday
Battle Creek Regional Park,51,10,04:00 PM,High,Weekday
Battle Creek Regional Park,51,10,04:00 PM,High,Weekend_holiday
Battle Creek Regional Park,51,10,06:00 PM,High,Weekday
Battle Creek Regional Park,51,10,06:00 PM,High,Weekend_holiday
Battle Creek Regional Park,51,11,08:00 AM,Low,Weekday
Battle Creek Regional Park,51,11,08:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,11,10:00 AM,Low,Weekday
Battle Creek Regional Park,51,11,10:00 AM,Low,Weekend_holiday
Battle Creek Regional Park,51,11,12:00 PM,Low,Weekday
Battle Creek Regional Park,51,11,12:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,11,02:00 PM,Low,Weekday
Battle Creek Regional Park,51,11,02:00 PM,Low,Weekend_holiday
Battle Creek Regional Park,51,11,04:00 PM,Low,Weekday
