Park_total_for_summer,Park_id,Park_name,Estimate,Year
0.4293919320877802,1,Anoka County Riverfront Regional Park,85862.93115686275,2018
0.9540987815363184,2,Bunker Hills Regional Park,190785.4150812325,2018
1.030116375121118,3,Coon Rapids Dam Regional Park,205986.19766917292,2018
0.5900005691016532,4,Lake George Regional Park,117978.87771428571,2018
0.3710945580230074,5,Martin-Island-Linwood Regional Park,74205.5546625923,2018
0.4057268504157703,6,Mississippi River Regional Trail,81130.76660839161,2018
0.5921457764961416,7,Rice Creek West Regional Trail,118407.84197994988,2018
1.1730962392410271,8,Rice Creek Chain of Lakes Park Reserve,234577.02416666667,2018
0.41475924608000136,9,Rice Creek North Regional Trail,82936.92063492064,2018
0.26900081122239927,10,Rum River Central Regional Park,53790.48,2018
1.443498215234829,11,Bush and Normandale Lakes Regional Park,288647.6866883117,2018
0.089978217464025,12,Baylor Regional Park,17992.40487394958,2018
0.3880456157601955,13,Lake Minnewashta Regional Park,77595.15608441559,2018
0.23243132406703276,14,Lake Waconia Regional Park,46477.89882783883,2018
0.2795363244369983,15,Big Rivers Regional Trail,55897.203434343435,2018
0.2571639788240611,16,Lake Byllesby Regional Park,51423.53956776557,2018
1.539993157395408,17,Lebanon Hills Regional Park,307943.2019427191,2018
0.05561515385299838,18,Miesville Ravine Park Reserve,11121.02899404762,2018
0.3842741089729612,19,Mississippi River Regional Trail,76840.99047619048,2018
0.19394301330868297,20,Spring Lake Park Reserve,38781.622,2018
0.7106470326235709,21,Baker Park Reserve,142103.8279464286,2018
0.9674590225289565,22,Bryant Lake Regional Park,193456.9823997248,2018
0.613893071177481,23,Carver Park Reserve,122756.51815789474,2018
1.0129155009924402,24,Clifton French Regional Park,202546.64196078433,2018
0.6207019069430503,25,Cleary Lake Regional Park (Scott County),124118.04023809524,2018
0.7419837741320258,26,Coon Rapids Dam Regional Park,148370.04833333334,2018
0.17665342433197592,27,Crow-Hassan Park Reserve,35324.326515151515,2018
2.163727976517538,28,Elm Creek Park Reserve,432667.7154519141,2018
1.2487698881839138,29,Medicine Lake Regional Trail,249709.03020594965,2018
0.6861096060360877,30,Fish Lake Regional Park,137197.22581349206,2018
1.4005912252362114,31,Hyland Lake Park Reserve,280067.83305555553,2018
0.40304535007048187,32,Lake Rebecca Park Reserve,80594.56305555555,2018
0.5143855717125205,33,Lake Minnetonka Regional Park,102858.59987468673,2018
0.1974534202262954,34,Murphy-Hanrehan Park Reserve (Scott County),39483.57703216374,2018
0.5180675784124923,35,Rush Creek Regional Trail,103594.86868686868,2018
0.13360145593534217,36,North Mississippi Regional Park,26715.48242105263,2018
0.14815629203908698,37,Noerenberg Gardens Special Recreation Feature,29625.92576426799,2018
0.28553365209757486,38,Scott County Regional Trail,57096.4531024531,2018
0.9979408462474217,39,Lake Minnetonka LRT Regional Trail,199552.25,2018
0.42311180785414215,40,Minnesota River Bluffs Regional Trail,84607.13235294117,2018
0.8911154150732021,41,Cedar Lake Regional Trail,178191.00877192983,2018
4.665653464436191,42,Central Mississippi Riverfront Regional Park,932962.7603174603,2018
12.733082416853382,43,Minneapolis Chain of Lakes Regional Park,2546158.176883117,2018
2.1443205389872615,44,Mississippi Gorge Regional Park,428786.9264848485,2018
3.849750787498088,45,Minnehaha Regional Park,769811.592012987,2018
2.4163321878135653,46,Minnehaha Parkway Regional Trail,483179.4656354515,2018
0.697006626382489,47,North Mississippi Regional Park,139376.23766233766,2018
2.9550662473402998,48,Nokomis-Hiawatha Regional Park,590906.8866889632,2018
1.1281910325903988,49,Theodore Wirth Regional Park,225597.59912605042,2018
0.8819632085326823,50,Victory (Wirth) Memorial Parkway Regional Trail,176360.89688253967,2018
1.2167286807997462,51,Battle Creek Regional Park,243301.942,2018
0.5048959869095747,52,Bald Eagle-Otter Lake Regional Park,100961.02447619048,2018
0.10312692952430215,53,Birch Lake Regional Park,20621.674019607843,2018
0.4830679565421903,54,Bruce Vento Regional Trail,96596.20406698564,2018
1.4066892157277655,55,Grass-Vadnais-Snail Lake Regional Park,281287.21166666667,2018
0.541051185367525,56,Highway 96 Regional Trail,108190.76282051283,2018
1.1039976795937938,58,Keller Regional Park,220759.7993269231,2018
0.8567654566094929,59,Long Lake Regional Park,171322.25344979297,2018
0.3164923698922182,60,Rice Creek West Regional Trail,63287.08235294118,2018
0.49824497436263426,61,Rice Creek North Regional Trail,99631.06135912698,2018
0.4792895969475724,62,Bruce Vento Regional Trail,95840.6681439394,2018
0.6791224893198238,63,Cherokee Heights Regional Park,135800.05396008404,2018
7.842040762543314,64,"Como Regional Park, Zoo, & Conservatory",1568125.8910703463,2018
1.8008684756759399,65,Lilydale-Harriet Island Regional Park,360108.8758181818,2018
0.8069986959991998,66,Hidden Falls-Crosby Farm Regional Park,161370.69260093168,2018
0.6908810943405173,67,Indian Mounds Regional Park,138151.35173245613,2018
2.3389033137238924,68,Mississippi Gorge Regional Park,467696.4777432712,2018
0.8497855804870983,69,Sam Morgan Regional Trail,169926.52945454547,2018
2.1103563060792454,70,Phalen Regional Park,421995.30239028943,2018
0.2141211797092605,71,Cottage Grove Ravine Regional Park,42816.529,2018
1.0102435853323357,72,Lake Elmo Park Reserve,202012.355,2018
0.19875126470585788,73,St. Croix Bluffs Regional Park,39743.099214285714,2018
0.34158787329515017,74,Square Lake Special Recreation Feature,68305.27976190476,2018
0.14551079237872577,75,Central Anoka County Regional Trail,29096.92105263158,2018
1.0266306411326502,76,Cedar Lake LRT Regional Trail,205289.17633477633,2018
0.16136829093926464,77,Lake Independence Regional Trail,32267.85,2018
