Park_total_for_summer,Park_id,Park_name,Estimate,Year,Agency_name,Agency_id,Event_visitors,Camping_visitors,Enterprise_operation_visits,Walk_in_visits,Winter_multiplier,Spring_Fall_multiplier,Annual_estimate
12.733082416853382,43,Minneapolis Chain of Lakes Regional Park,2546158.176883117,2018,Minneapolis Park and Recreation Board,5,157.7,0,0,0,0.371,1.444,7325135.267925974
2.1443205389872615,44,Mississippi Gorge Regional Park,428786.9264848485,2018,Minneapolis Park and Recreation Board,5,7.6,0,0,0,0.299,1.533,1221924.5758050908
3.849750787498088,45,Minnehaha Regional Park,769811.592012987,2018,Minneapolis Park and Recreation Board,5,15.9,0,0,0,0.371,1.444,2182919.631516558
2.4163321878135653,46,Minnehaha Parkway Regional Trail,483179.4656354515,2018,Minneapolis Park and Recreation Board,5,3,0,0,0,0.299,1.533,1371364.2466795985
0.697006626382489,47,North Mississippi Regional Park,139376.23766233766,2018,Minneapolis Park and Recreation Board,5,0.4,0,0,0,0.371,1.444,392744.10901948053
2.9550662473402998,48,Nokomis-Hiawatha Regional Park,590906.8866889632,2018,Minneapolis Park and Recreation Board,5,40.4,0,0,0,0.371,1.444,1703802.8860294314
1.1281910325903988,49,Theodore Wirth Regional Park,225597.59912605042,2018,Minneapolis Park and Recreation Board,5,203.33,0,0,0,0.371,1.444,838387.241539832
0.8819632085326823,50,Victory (Wirth) Memorial Parkway Regional Trail,176360.89688253967,2018,Minneapolis Park and Recreation Board,5,9.4,0,0,0,0.299,1.533,508854.05997135234
1.2167286807997462,51,Battle Creek Regional Park,243301.942,2018,Ramsey County,6,12.6,0,0,0,0.371,1.444,697494.96673
0.5048959869095747,52,Bald Eagle-Otter Lake Regional Park,100961.02447619048,2018,Ramsey County,6,138.4,0,0,0,0.371,1.444,422605.2839004762
0.10312692952430215,53,Birch Lake Regional Park,20621.674019607843,2018,Ramsey County,6,0,0,0,0,0.299,1.533,58400.58082352941
0.4830679565421903,54,Bruce Vento Regional Trail,96596.20406698564,2018,Ramsey County,6,6,0,0,0,0.299,1.533,279560.4499177033
