Year,Park_id,Agency_id,Entrance,Expanded_total,Usage_class,Day_type,Total_visitors,Bikers,Peds_skaters,Vehicles,Buses,Horse_riders,Boaters,Start_time,Date,Half_of_summer,Expansion_factor,ppv_multiplier,ppb_multiplier,Total_days_by_type,Park_name,Agency_name,Date_year,Timeslot,Scheduled_count,Scheduled_date,Date_object
2016,1,1,2,30592.2,High,Weekday,45.66,0,1,14,0,0,0,12:00 PM,2016-06-14,1,10,3.19,26.3,67,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,1,1,2,40662.6,High,Weekend_holiday,123.22,2,0,38,0,0,0,12:00 PM,2016-06-11,1,10,3.19,26.3,33,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,1,1,2,61854.4,High,Weekday,92.32,2,1,28,0,0,0,02:00 PM,2016-07-25,2,10,3.19,26.3,67,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,1,1,2,74019,High,Weekend_holiday,224.3,1,0,70,0,0,0,04:00 PM,2016-07-31,2,10,3.19,26.3,33,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,1,1,2,94456.6,High,Weekday,140.98,0,7,42,0,0,0,12:00 PM,2016-07-22,2,10,3.19,26.3,67,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,1,1,3,1980,High,Weekend_holiday,6,4,2,0,0,0,0,10:00 AM,2017-06-11,1,10,2.67,26.3,33,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,1,1,3,2310,High,Weekend_holiday,7,2,5,0,0,0,0,06:00 PM,2017-06-17,1,10,2.67,26.3,33,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,1,1,4,4158,Medium,Weekend_holiday,9,6,3,0,0,0,0,10:00 AM,2017-06-24,1,14,2.67,26.3,33,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,1,1,3,8040,High,Weekday,12,10,2,0,0,0,0,06:00 PM,2017-06-16,1,10,2.67,26.3,67,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,1,1,1,11256,Medium,Weekday,12,2,10,0,0,0,0,06:00 PM,2017-06-14,1,14,2.67,26.3,67,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,1,1,1,11265.38,Medium,Weekday,12.01,4,0,3,0,0,0,02:00 PM,2017-08-25,2,14,2.67,26.3,67,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,1,1,1,12326.16,Medium,Weekend_holiday,26.68,10,6,4,0,0,0,12:00 PM,2017-09-02,2,14,2.67,26.3,33,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,1,1,3,13400,High,Weekday,20,13,7,0,0,0,0,12:00 PM,2017-06-02,1,10,2.67,26.3,67,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,1,1,1,15955.38,Medium,Weekday,17.01,3,6,3,0,0,0,12:00 PM,2017-07-21,2,14,2.67,26.3,67,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,1,1,1,21592.76,Medium,Weekday,23.02,4,3,6,0,0,0,02:00 PM,2017-07-13,1,14,2.67,26.3,67,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,1,1,2,49341.6,High,Weekend_holiday,149.52,0,0,56,0,0,0,04:00 PM,2017-06-25,1,10,2.67,26.3,33,Anoka County Riverfront Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,8,0,Low,Weekend_holiday,0,0,0,0,0,0,0,10:00 AM,2015-05-23,1,30,3.19,22,35,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,9,0,Medium,Weekday,0,0,0,0,0,0,0,12:00 PM,2015-08-10,2,14,3.19,22,68,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,8,7350,Low,Weekend_holiday,7,1,6,0,0,0,0,04:00 PM,2015-09-07,2,30,3.19,22,35,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,7,21e3,Low,Weekend_holiday,20,8,12,0,0,0,0,06:00 PM,2015-05-25,1,30,3.19,22,35,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,4,23800,Medium,Weekday,25,16,9,0,0,0,0,10:00 AM,2015-07-17,2,14,3.19,22,68,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,3,29512,Medium,Weekday,31,18,13,0,0,0,0,02:00 PM,2015-06-02,1,14,3.19,22,68,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,9,33405.68,Medium,Weekday,35.09,0,0,11,0,0,0,04:00 PM,2015-06-29,1,14,3.19,22,68,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,9,37514.4,Medium,Weekend_holiday,76.56,0,0,24,0,0,0,10:00 AM,2015-07-05,1,14,3.19,22,35,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,5,42840,Low,Weekday,21,17,4,0,0,0,0,02:00 PM,2015-06-26,1,30,3.19,22,68,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,9,43766.8,Medium,Weekend_holiday,89.32,0,0,28,0,0,0,04:00 PM,2015-05-23,1,14,3.19,22,35,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,9,46893,Medium,Weekend_holiday,95.7,0,0,30,0,0,0,10:00 AM,2015-09-06,2,14,3.19,22,35,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,9,51626.96,Medium,Weekday,54.23,0,0,17,0,0,0,04:00 PM,2015-09-01,2,14,3.19,22,68,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,5,63240,Low,Weekday,31,4,27,0,0,0,0,10:00 AM,2015-07-27,2,30,3.19,22,68,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,9,94143.28,Medium,Weekday,98.89,0,0,31,0,0,0,04:00 PM,2015-08-06,2,14,3.19,22,68,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,9,97180.16,Medium,Weekday,102.08,0,0,32,0,0,0,12:00 PM,2015-06-22,1,14,3.19,22,68,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2015,2,1,9,114106.3,Medium,Weekend_holiday,232.87,0,0,73,0,0,0,12:00 PM,2015-07-11,1,14,3.19,22,35,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,2,9474.3,Low,Weekend_holiday,15.95,0,0,5,0,0,0,12:00 PM,2016-09-03,2,18,3.19,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,2,12060,Low,Weekday,10,0,0,3,0,0,0,02:00 PM,2016-06-22,1,18,3.19,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,7,12474,Low,Weekend_holiday,21,13,8,0,0,0,0,08:00 AM,2016-05-30,1,18,3.19,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,9,19159.14,Medium,Weekend_holiday,41.47,0,0,13,0,0,0,10:00 AM,2016-06-04,1,14,3.19,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,1,32562,Low,Weekday,27,7,20,0,0,0,0,04:00 PM,2016-07-27,2,18,3.19,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,9,35370.72,Medium,Weekend_holiday,76.56,0,0,24,0,0,0,08:00 AM,2016-07-31,2,14,3.19,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,9,35906.64,Medium,Weekday,38.28,0,0,12,0,0,0,02:00 PM,2016-07-13,1,14,3.19,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,1,39798,Low,Weekday,33,1,32,0,0,0,0,10:00 AM,2016-06-02,1,18,3.19,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,9,41265.84,Medium,Weekend_holiday,89.32,0,0,28,0,0,0,12:00 PM,2016-07-10,1,14,3.19,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,9,64693.86,Medium,Weekend_holiday,140.03,0,0,37,1,0,0,02:00 PM,2016-08-27,2,14,3.19,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,2,71874,Low,Weekend_holiday,121,0,0,38,0,0,0,08:00 AM,2016-05-28,1,18,3.19,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,9,74805.5,Medium,Weekday,79.75,0,0,25,0,0,0,12:00 PM,2016-07-12,1,14,3.19,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,9,74805.5,Medium,Weekday,79.75,0,0,25,0,0,0,12:00 PM,2016-07-29,2,14,3.19,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,3,91924,Medium,Weekday,98,58,40,0,0,0,0,06:00 PM,2016-07-29,2,14,3.19,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,9,95441.5,Medium,Weekday,101.75,0,0,25,1,0,0,04:00 PM,2016-07-08,1,14,3.19,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,9,106112.16,Medium,Weekend_holiday,229.68,0,0,72,0,0,0,04:00 PM,2016-08-13,2,14,3.19,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2016,2,1,9,113704.36,Medium,Weekday,121.22,0,0,38,0,0,0,04:00 PM,2016-06-20,1,14,3.19,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,3,0,Medium,Weekday,0,0,0,0,0,0,0,08:00 AM,2017-08-16,2,12,2.67,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,2,2412,Low,Weekday,2,0,2,0,0,0,0,06:00 PM,2017-07-21,2,18,2.67,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,7,4158,Low,Weekend_holiday,7,4,3,0,0,0,0,04:00 PM,2017-06-24,1,18,2.67,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,6,7995.24,High,Weekend_holiday,40.38,0,3,14,0,0,0,06:00 PM,2017-06-11,1,6,2.67,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,6,8656.56,High,Weekend_holiday,43.72,0,1,16,0,0,0,08:00 AM,2017-06-25,1,6,2.67,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,3,13068,Medium,Weekend_holiday,33,26,7,0,0,0,0,12:00 PM,2017-06-04,1,12,2.67,22,33,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,3,14472,Medium,Weekday,18,14,4,0,0,0,0,12:00 PM,2017-06-09,1,12,2.67,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
2017,2,1,7,14472,Low,Weekday,12,9,3,0,0,0,0,12:00 PM,2017-07-14,1,18,2.67,22,67,Bunker Hills Regional Park,Anoka County,NA,NA,NA,NA,NA
