Agency_name,Park_name,Entrance,Date_year,Timeslot,Scheduled_count,Scheduled_date,Bikers,Peds_skaters,Vehicles,Buses,Horse_riders,Boaters,Start_time,Date,Half_of_summer,Date_object,Day_type,Total_days_by_type,Park_id,Agency_id,Usage_class,ppb_multiplier,ppv_multiplier,Expansion_factor,Expanded_total,Year
Three Rivers Park District,Bryant Lake Regional Park,2,August-26-2018,4:00-6:00 PM,Yes,NA,4,8,0,0,0,0,04:00 PM,2018-08-26,2,2018-08-26,Weekend_holiday,33,22,9,Low,19,2.75,12,4752,2018
Three Rivers Park District,Bryant Lake Regional Park,1,September-3-2018,8:00-10:00 AM,Yes,NA,2,2,67,0,0,0,08:00 AM,2018-09-03,2,2018-09-03,Weekend_holiday,33,22,9,High,19,2.75,6,37273.5,2018
Three Rivers Park District,Carver Park Reserve,4,August-27-2018,10:00-12:00 PM,Yes,NA,0,3,8,0,0,0,10:00 AM,2018-08-27,2,2018-08-27,Weekday,68,23,9,Low,39.73,2.75,18,30600,2018
Three Rivers Park District,Carver Park Reserve,1,September-2-2018,2:00-4:00 PM,Yes,NA,0,0,21,0,0,0,02:00 PM,2018-09-02,2,2018-09-02,Weekend_holiday,33,23,9,High,39.73,2.75,12,22869,2018
Three Rivers Park District,Cedar Lake LRT Regional Trail,8,September-2-2018,4:00-6:00 PM,Yes,NA,8,3,0,0,0,0,04:00 PM,2018-09-02,2,2018-09-02,Weekend_holiday,33,76,9,Low,0,0,36,13068,2018
Three Rivers Park District,Cedar Lake LRT Regional Trail,1,August-5-2018,10:00-12:00 PM,Yes,NA,7,0,0,0,0,0,10:00 AM,2018-08-05,2,2018-08-05,Weekend_holiday,33,76,9,Medium,0,0,30,6930,2018
Three Rivers Park District,Cleary Lake Regional Park (Scott County),1,August-11-2018,8:00-10:00 AM,No,7/7/18 8-10pm,0,0,26,0,0,0,08:00 AM,2018-08-11,2,2018-08-11,Weekend_holiday,33,25,9,High,15,2.75,6,14157,2018
Three Rivers Park District,Clifton French Regional Park,2,August-20-2018,4:00-6:00 PM,Yes,NA,8,18,0,0,0,0,04:00 PM,2018-08-20,2,2018-08-20,Weekday,68,24,9,Medium,49.83,2.75,12,21216,2018
Three Rivers Park District,Clifton French Regional Park,1,August-26-2018,10:00-12:00 PM,Yes,NA,0,8,260,0,0,0,10:00 AM,2018-08-26,2,2018-08-26,Weekend_holiday,33,24,9,High,49.83,2.75,6,143154,2018
Three Rivers Park District,Clifton French Regional Park,1,August-27-2018,8:00-10:00 AM,Yes,NA,2,19,85,0,0,0,08:00 AM,2018-08-27,2,2018-08-27,Weekday,68,24,9,High,49.83,2.75,6,103938,2018
Three Rivers Park District,Coon Rapids Dam Regional Park,3,August-15-2018,8:00-10:00 AM,Yes,NA,17,65,0,0,0,0,08:00 AM,2018-08-15,2,2018-08-15,Weekday,68,26,9,High,39.73,2.75,12,66912,2018
Three Rivers Park District,Coon Rapids Dam Regional Park,5,August-22-2018,4:00-6:00 PM,Yes,NA,5,3,0,0,0,0,04:00 PM,2018-08-22,2,2018-08-22,Weekday,68,26,9,Low,39.73,2.75,6,3264,2018
Three Rivers Park District,Coon Rapids Dam Regional Park,5,September-2-2018,2:00-4:00 PM,No,7/8/18 2-4pm,3,2,0,0,0,0,02:00 PM,2018-09-02,2,2018-09-02,Weekend_holiday,33,26,9,Low,39.73,2.75,6,990,2018
Three Rivers Park District,Crystal Lake Regional Trail,10,August-30-2018,12:00-2:00 PM,Yes,NA,3,5,0,0,0,0,12:00 PM,2018-08-30,2,2018-08-30,Weekday,68,131,9,Low,0,0,132,71808,2018
Three Rivers Park District,Crystal Lake Regional Trail,8,August-21-2018,2:00-4:00 PM,No,7/3/18 2-4pm,4,5,0,0,0,0,02:00 PM,2018-08-21,2,2018-08-21,Weekday,68,131,9,Low,0,0,132,80784,2018
Three Rivers Park District,Crystal Lake Regional Trail,3,September-2-2018,4:00-6:00 PM,No,8/5/18 4-6pm,5,3,0,0,0,0,04:00 PM,2018-09-02,2,2018-09-02,Weekend_holiday,33,131,9,Low,0,0,132,34848,2018
Three Rivers Park District,Crystal Lake Regional Trail,1,August-19-2018,10:00-12:00 PM,Yes,NA,6,5,0,0,0,0,10:00 AM,2018-08-19,2,2018-08-19,Weekend_holiday,33,131,9,High,0,0,30,10890,2018
Three Rivers Park District,Dakota Rail Regional Trail,18,August-26-2018,4:00-6:00 PM,Yes,NA,22,2,0,0,0,0,04:00 PM,2018-08-26,2,2018-08-26,Weekend_holiday,33,96,9,Medium,0,0,36,28512,2018
Three Rivers Park District,Dakota Rail Regional Trail,1,August-25-2018,4:00-6:00 PM,Yes,NA,30,5,0,0,0,0,04:00 PM,2018-08-25,2,2018-08-25,Weekend_holiday,33,96,9,High,0,0,12,13860,2018
Three Rivers Park District,Dakota Rail Regional Trail,11,August-22-2018,2:00-4:00 PM,No,7/4/18 2-4pm,1,0,0,0,0,0,02:00 PM,2018-08-22,2,2018-08-22,Weekday,68,96,9,Low,0,0,96,6528,2018
Three Rivers Park District,Dakota Rail Regional Trail,22,September-3-2018,10:00-12:00 PM,Yes,NA,72,12,0,0,0,0,10:00 AM,2018-09-03,2,2018-09-03,Weekend_holiday,33,96,9,High,0,0,12,33264,2018
Three Rivers Park District,Eagle Lake Regional Park,1,August-18-2018,2:00-4:00 PM,Yes,NA,2,1,0,0,0,0,02:00 PM,2018-08-18,2,2018-08-18,Weekend_holiday,33,78,9,Medium,39.73,2.75,12,1188,2018
Three Rivers Park District,Fish Lake Regional Park,1,August-25-2018,10:00-12:00 PM,Yes,NA,1,1,70,0,0,0,10:00 AM,2018-08-25,2,2018-08-25,Weekend_holiday,33,30,9,High,39.73,2.75,6,38511,2018
Three Rivers Park District,Fish Lake Regional Park,4,August-18-2018,6:00-8:00 PM,Yes,NA,3,6,0,0,0,0,06:00 PM,2018-08-18,2,2018-08-18,Weekend_holiday,33,30,9,Low,39.73,2.75,18,5346,2018
