Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Usage_class
Bush and Normandale Lakes Regional Park,11,NA,12,02:00 PM,Medium
Bush and Normandale Lakes Regional Park,11,NA,12,04:00 PM,Medium
Bush and Normandale Lakes Regional Park,11,NA,12,06:00 PM,Medium
Nokomis-Minnesota River Bluffs Regional Trail,140,East 84th Street and Old Cedar Avenue,1,08:00 AM,Low
Nokomis-Minnesota River Bluffs Regional Trail,140,East 84th Street and Old Cedar Avenue,1,10:00 AM,Low
Nokomis-Minnesota River Bluffs Regional Trail,140,East 84th Street and Old Cedar Avenue,1,12:00 PM,Medium
Nokomis-Minnesota River Bluffs Regional Trail,140,East 84th Street and Old Cedar Avenue,1,02:00 PM,Medium
Nokomis-Minnesota River Bluffs Regional Trail,140,East 84th Street and Old Cedar Avenue,1,04:00 PM,Low
Nokomis-Minnesota River Bluffs Regional Trail,140,East 84th Street and Old Cedar Avenue,1,06:00 PM,Low
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of Old Cedar Avenue and Old Shakopee Road,2,08:00 AM,Low
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of Old Cedar Avenue and Old Shakopee Road,2,10:00 AM,Low
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of Old Cedar Avenue and Old Shakopee Road,2,12:00 PM,Low
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of Old Cedar Avenue and Old Shakopee Road,2,02:00 PM,Low
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of Old Cedar Avenue and Old Shakopee Road,2,04:00 PM,Low
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of Old Cedar Avenue and Old Shakopee Road,2,06:00 PM,Low
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and 12th Avenue,3,08:00 AM,Medium
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and 12th Avenue,3,10:00 AM,High
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and 12th Avenue,3,12:00 PM,High
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and 12th Avenue,3,02:00 PM,High
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and 12th Avenue,3,04:00 PM,Medium
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and 12th Avenue,3,06:00 PM,Medium
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and Old Cedar Avenue,4,08:00 AM,High
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and Old Cedar Avenue,4,10:00 AM,High
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and Old Cedar Avenue,4,12:00 PM,High
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and Old Cedar Avenue,4,02:00 PM,High
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and Old Cedar Avenue,4,04:00 PM,High
Nokomis-Minnesota River Bluffs Regional Trail,140,Junction of American Boulevard and Old Cedar Avenue,4,06:00 PM,High
Nokomis-Minnesota River Bluffs Regional Trail,140,East 86th Street and Old Cedar Avenue,5,08:00 AM,Low
Nokomis-Minnesota River Bluffs Regional Trail,140,East 86th Street and Old Cedar Avenue,5,10:00 AM,Medium
Nokomis-Minnesota River Bluffs Regional Trail,140,East 86th Street and Old Cedar Avenue,5,12:00 PM,Medium
Nokomis-Minnesota River Bluffs Regional Trail,140,East 86th Street and Old Cedar Avenue,5,02:00 PM,Medium
Nokomis-Minnesota River Bluffs Regional Trail,140,East 86th Street and Old Cedar Avenue,5,04:00 PM,Medium
Nokomis-Minnesota River Bluffs Regional Trail,140,East 86th Street and Old Cedar Avenue,5,06:00 PM,Low
