Park_or_trail_name,Park_trail_id,Entrance_name,Entrance_id,Start_time,Day_type,Usage_class
Battle Creek Regional Park,51,Winthrop Street Site,5,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Winthrop Street Site,5,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Winthrop Street Site,5,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at McKnight,6,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at North Park Drive,7,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Creek Trail at Upper Afton Road,8,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and McKnight Road,9,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,08:00 AM,Weekday,High
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,08:00 AM,Weekend_holiday,High
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,10:00 AM,Weekday,High
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,10:00 AM,Weekend_holiday,High
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,12:00 PM,Weekday,High
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,12:00 PM,Weekend_holiday,High
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,02:00 PM,Weekday,High
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,02:00 PM,Weekend_holiday,High
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,04:00 PM,Weekday,High
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,04:00 PM,Weekend_holiday,High
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,06:00 PM,Weekday,High
Battle Creek Regional Park,51,North Off-leash Dog Parking Lot Entrnace,10,06:00 PM,Weekend_holiday,High
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Londin Lane East and Lower Afton Road,11,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,12:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,02:00 PM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,02:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,04:00 PM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,04:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,06:00 PM,Weekday,Low
Battle Creek Regional Park,51,Lower Afton Road and Century Avenue,12,06:00 PM,Weekend_holiday,Low
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,08:00 AM,Weekday,Low
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,08:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,10:00 AM,Weekday,Low
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,10:00 AM,Weekend_holiday,Low
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,12:00 PM,Weekday,Low
Battle Creek Regional Park,51,Ferndale Street North and Upper Afton Road,13,12:00 PM,Weekend_holiday,Low
