Park_trail,Entrance,Usage_class,Start_time,Day_type
3,1,High,1600,Weekend_holiday
3,1,High,1600,Weekday
3,4,High,1600,Weekend_holiday
3,4,High,1600,Weekday
4,1,High,1600,Weekend_holiday
4,1,High,1600,Weekday
10,1,High,1600,Weekend_holiday
10,1,High,1600,Weekday
9,2,High,1600,Weekend_holiday
9,2,High,1600,Weekday
9,3,High,1600,Weekend_holiday
9,3,High,1600,Weekday
8,1,High,1600,Weekend_holiday
8,1,High,1600,Weekday
8,2,High,1600,Weekend_holiday
8,2,High,1600,Weekday
8,11,High,1600,Weekend_holiday
8,11,High,1600,Weekday
8,12,High,1600,Weekend_holiday
8,12,High,1600,Weekday
75,1,High,1600,Weekend_holiday
75,1,High,1600,Weekday
75,2,High,1600,Weekend_holiday
75,2,High,1600,Weekday
75,3,High,1600,Weekend_holiday
75,3,High,1600,Weekday
5,2,High,1600,Weekend_holiday
5,2,High,1600,Weekday
5,3,High,1600,Weekend_holiday
5,3,High,1600,Weekday
112,1,High,1600,Weekend_holiday
112,1,High,1600,Weekday
1,3,High,1800,Weekend_holiday
1,3,High,1800,Weekday
7,1,High,1800,Weekend_holiday
7,1,High,1800,Weekday
110,1,High,1800,Weekend_holiday
110,1,High,1800,Weekday
110,3,High,1800,Weekend_holiday
110,3,High,1800,Weekday
108,3,High,1800,Weekend_holiday
108,3,High,1800,Weekday
108,4,High,1800,Weekend_holiday
108,4,High,1800,Weekday
2,6,High,1800,Weekend_holiday
2,6,High,1800,Weekday
107,1,High,1800,Weekend_holiday
107,1,High,1800,Weekday
107,2,High,1800,Weekend_holiday
107,2,High,1800,Weekday
107,3,High,1800,Weekend_holiday
107,3,High,1800,Weekday
107,4,High,1800,Weekend_holiday
107,4,High,1800,Weekday
107,5,High,1800,Weekend_holiday
107,5,High,1800,Weekday
3,1,High,1800,Weekend_holiday
3,1,High,1800,Weekday
3,4,High,1800,Weekend_holiday
3,4,High,1800,Weekday
4,1,High,1800,Weekend_holiday
4,1,High,1800,Weekday
10,1,High,1800,Weekend_holiday
10,1,High,1800,Weekday
9,2,High,1800,Weekend_holiday
9,2,High,1800,Weekday
9,3,High,1800,Weekend_holiday
9,3,High,1800,Weekday
8,1,High,1800,Weekend_holiday
8,1,High,1800,Weekday
8,2,High,1800,Weekend_holiday
8,2,High,1800,Weekday
8,11,High,1800,Weekend_holiday
8,11,High,1800,Weekday
8,12,High,1800,Weekend_holiday
8,12,High,1800,Weekday
75,1,High,1800,Weekend_holiday
75,1,High,1800,Weekday
75,2,High,1800,Weekend_holiday
75,2,High,1800,Weekday
75,3,High,1800,Weekend_holiday
75,3,High,1800,Weekday
5,2,High,1800,Weekend_holiday
5,2,High,1800,Weekday
5,3,High,1800,Weekend_holiday
5,3,High,1800,Weekday
112,1,High,1800,Weekend_holiday
112,1,High,1800,Weekday
1,1,Medium,800,Weekend_holiday
1,1,Medium,800,Weekday
1,2,Medium,800,Weekend_holiday
1,2,Medium,800,Weekday
1,4,Medium,800,Weekend_holiday
1,4,Medium,800,Weekday
7,2,Medium,800,Weekend_holiday
7,2,Medium,800,Weekday
7,10,Medium,800,Weekend_holiday
7,10,Medium,800,Weekday
7,11,Medium,800,Weekend_holiday
7,11,Medium,800,Weekday
7,13,Medium,800,Weekend_holiday
7,13,Medium,800,Weekday
7,14,Medium,800,Weekend_holiday
7,14,Medium,800,Weekday
110,4,Medium,800,Weekend_holiday
110,4,Medium,800,Weekday
108,5,Medium,800,Weekend_holiday
108,5,Medium,800,Weekday
2,3,Medium,800,Weekend_holiday
2,3,Medium,800,Weekday
2,4,Medium,800,Weekend_holiday
2,4,Medium,800,Weekday
2,9,Medium,800,Weekend_holiday
2,9,Medium,800,Weekday
107,4,Medium,800,Weekend_holiday
107,4,Medium,800,Weekday
107,5,Medium,800,Weekend_holiday
107,5,Medium,800,Weekday
107,6,Medium,800,Weekend_holiday
107,6,Medium,800,Weekday
107,7,Medium,800,Weekend_holiday
107,7,Medium,800,Weekday
107,8,Medium,800,Weekend_holiday
107,8,Medium,800,Weekday
3,3,Medium,800,Weekend_holiday
3,3,Medium,800,Weekday
3,5,Medium,800,Weekend_holiday
3,5,Medium,800,Weekday
6,2,Medium,800,Weekend_holiday
6,2,Medium,800,Weekday
6,4,Medium,800,Weekend_holiday
6,4,Medium,800,Weekday
6,5,Medium,800,Weekend_holiday
6,5,Medium,800,Weekday
6,6,Medium,800,Weekend_holiday
