Year,Park,agency,Entrance,totalsum,samclass,daytype,totalall,Biker,Pedskat,Vehicle,Bus,Horse,Boat,orgstart,gooddate,half,expfact,new2008ppv,newppb,day#s,carpeop,buspeop
2017,1,1,3,13400,1,2,20,13,7,0,0,0,0,1200,602,1,10,2.67,26.3,67,0,0
2017,1,1,1,15955.38,2,2,17.01,3,6,3,0,0,0,1200,721,2,14,2.67,26.3,67,8.01,0
2017,1,1,1,21592.76,2,2,23.02,4,3,6,0,0,0,1400,713,1,14,2.67,26.3,67,16.02,0
2017,1,1,2,49341.6,1,1,149.52,0,0,56,0,0,0,1600,625,1,10,2.67,26.3,33,149.52,0
2014,2,1,9,0,2,2,0,0,0,0,0,0,0,1400,606,1,14,3.19,22,68,0,0
2014,2,1,2,6316.2,3,1,6.38,0,0,2,0,0,0,1600,629,1,30,3.19,22,33,0,0
2014,2,1,4,7616,2,2,8,6,2,0,0,0,0,800,721,2,14,3.19,22,68,0,0
2014,2,1,3,7854,2,1,17,13,4,0,0,0,0,800,531,1,14,3.19,22,33,0,0
2014,2,1,6,8865.78,2,1,19,3,13,1,0,0,0,1600,608,1,14,3.19,22,33,3.19,0
2014,2,1,3,9520,2,2,10,7,3,0,0,0,0,1600,605,1,14,3.19,22,68,0,0
2014,2,1,1,9900,3,1,10,2,8,0,0,0,0,1600,824,2,30,3.19,22,33,0,0
2014,2,1,8,12240,3,2,6,5,1,0,0,0,0,1600,804,2,30,3.19,22,68,0,0
2014,2,1,3,12936,2,1,28,10,18,0,0,0,0,1200,719,2,14,3.19,22,33,9.57,0
2014,2,1,8,22440,3,2,11,8,3,0,0,0,0,1200,618,1,30,3.19,22,68,0,0
2014,2,1,9,24295.04,2,2,25.52,0,0,8,0,0,0,1000,529,1,14,3.19,22,68,25.52,0
2014,2,1,9,26334,2,1,57,0,0,18,0,0,0,1200,601,1,14,3.19,22,33,57.42,0
2014,2,1,9,63774.48,2,2,66.99,0,0,21,0,0,0,1600,610,1,14,3.19,22,68,66.99,0
2014,2,1,9,66320.1,2,1,143.55,0,0,45,0,0,0,1000,831,2,14,3.19,22,33,143.55,0
2014,2,1,9,69534.08,2,2,73.04,0,0,16,1,0,0,1200,827,2,14,3.19,22,68,51.04,22
2014,2,1,9,70741.44,2,1,153.12,0,0,48,0,0,0,1600,615,1,14,3.19,22,33,153.12,0
2014,2,1,9,142105.04,2,2,149.27,0,0,33,2,0,0,1400,822,2,14,3.19,22,68,105.27,44
2015,2,1,8,0,3,1,0,0,0,0,0,0,0,1000,523,1,30,3.19,22,35,0,0
2015,2,1,9,0,2,2,0,0,0,0,0,0,0,1200,810,2,14,3.19,22,68,0,0
2015,2,1,8,7350,3,1,7,1,6,0,0,0,0,1600,907,2,30,3.19,22,35,0,0
2015,2,1,7,21000,3,1,20,8,12,0,0,0,0,1800,525,1,30,3.19,22,35,0,0
2015,2,1,4,23800,2,2,25,16,9,0,0,0,0,1000,717,2,14,3.19,22,68,0,0
2015,2,1,3,29512,2,2,31,18,13,0,0,0,0,1400,602,1,14,3.19,22,68,0,0
2015,2,1,9,33405.68,2,2,35.09,0,0,11,0,0,0,1600,629,1,14,3.19,22,68,35.09,0
2015,2,1,9,37514.4,2,1,76.56,0,0,24,0,0,0,1000,705,1,14,3.19,22,35,76.56,0
2015,2,1,5,42840,3,2,21,17,4,0,0,0,0,1400,626,1,30,3.19,22,68,0,0
2015,2,1,9,43766.8,2,1,89.32,0,0,28,0,0,0,1600,523,1,14,3.19,22,35,89.32,0
2015,2,1,9,46893,2,1,95.7,0,0,30,0,0,0,1000,906,2,14,3.19,22,35,95.7,0
2015,2,1,9,51626.96,2,2,54.23,0,0,17,0,0,0,1600,901,2,14,3.19,22,68,54.23,0
2015,2,1,5,63240,3,2,31,4,27,0,0,0,0,1000,727,2,30,3.19,22,68,0,0
2015,2,1,9,94143.28,2,2,98.89,0,0,31,0,0,0,1600,806,2,14,3.19,22,68,98.89,0
2015,2,1,9,97180.16,2,2,102.08,0,0,32,0,0,0,1200,622,1,14,3.19,22,68,102.08,0
2015,2,1,9,114106.3,2,1,232.87,0,0,73,0,0,0,1200,711,1,14,3.19,22,35,232.87,0
2016,2,1,2,9474.3,3,1,15.95,0,0,5,0,0,0,1200,903,2,18,3.19,22,33,15.95,0
2016,2,1,2,12060,3,2,10,0,0,3,0,0,0,1400,622,1,18,3.19,22,67,9.57,0
2016,2,1,7,12474,3,1,21,13,8,0,0,0,0,800,530,1,18,3.19,22,33,0,0
2016,2,1,9,19159.14,2,1,41.47,0,0,13,0,0,0,1000,604,1,14,3.19,22,33,41.47,0
2016,2,1,1,32562,3,2,27,7,20,0,0,0,0,1600,727,2,18,3.19,22,67,0,0
