Agency_name,Park_name,Event_visitors,Camping_visitors
Dakota County,Big Rivers Regional Trail,0.6,0
Dakota County,Lake Byllesby Regional Park,1,17.6
Dakota County,Lebanon Hills Regional Park,33.4,35.5
Dakota County,Miesville Ravine Park Reserve,0,0
Dakota County,Mississippi River Regional Trail,0.5,0
Dakota County,Spring Lake Park Reserve,11,0
Dakota County,Whitetail Woods Regional Park,0.7,59.3
