Q29,Q1,Q13,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
PD,Saint Paul,Indian Mounds Regional Park,2,June,18,2018,10:00-12:00 PM,Yes,NA,3,14,2,0,0,0
PD,Saint Paul,Hidden Falls-Crosby Farm Regional Park,2,June,8,2018,12:00-2:00 PM,Yes,NA,2,7,5,0,0,0
BS,Saint Paul,"Como Regional Park, Zoo, & Conservatory",1,July,3,2018,10:00-12:00 PM,Yes,NA,3,3,0,0,0,0
BDD,Saint Paul,Indian Mounds Regional Park,1,July,4,2018,4:00-6:00 PM,Yes,NA,0,3,27,0,0,0
BDD,Saint Paul,Bruce Vento Regional Trail,1,July,2,2018,4:00-6:00 PM,Yes,NA,31,13,0,0,0,0
BDD,Saint Paul,Sam Morgan Regional Trail,2,July,2,2018,2:00-4:00 PM,Yes,NA,23,6,0,0,0,0
BDD,Saint Paul,Phalen Regional Park,8,July,2,2018,6:00-8:00 PM,Yes,NA,0,0,42,0,0,0
BDD,Saint Paul,Sam Morgan Regional Trail,6,July,7,2018,4:00-6:00 PM,Yes,NA,3,6,8,0,0,0
BDD,Saint Paul,Bruce Vento Regional Trail,1,July,7,2018,12:00-2:00 PM,Yes,NA,45,11,0,0,0,0
BDD,Saint Paul,Phalen Regional Park,7,July,7,2018,2:00-4:00 PM,Yes,NA,3,7,0,0,0,0
AP,Saint Paul,Indian Mounds Regional Park,2,June,30,2018,2:00-4:00 PM,Yes,NA,2,13,5,0,0,0
AP,Saint Paul,Mississippi Gorge Regional Park,2,July,4,2018,6:00-8:00 PM,Yes,NA,12,13,0,0,0,0
AP,Saint Paul,Hidden Falls-Crosby Farm Regional Park,3,July,4,2018,4:00-6:00 PM,Yes,NA,4,7,0,0,0,0
BSS,Saint Paul,Indian Mounds Regional Park,1,June,28,2018,4:00-6:00 PM,Yes,NA,0,6,16,0,0,0
BSS,Saint Paul,Indian Mounds Regional Park,4,June,27,2018,6:00-8:00 PM,Yes,NA,9,16,25,0,0,0
BS,Saint Paul,"Como Regional Park, Zoo, & Conservatory",20,June,27,2018,10:00-12:00 PM,Yes,NA,0,0,41,0,0,0
BSS,Saint Paul,"Como Regional Park, Zoo, & Conservatory",1,July,3,2018,10:00-12:00 PM,Yes,NA,3,3,0,0,0,0
Hg,Saint Paul,Phalen Regional Park,9,July,8,2018,6:00-8:00 PM,No,6.30.18 6pm-8pm,1,2,7,0,0,0
Hg,Saint Paul,Trout Brook Regional Trail,1,July,8,2018,12:00-2:00 PM,Yes,NA,7,3,1,0,0,0
Hg,Saint Paul,Bruce Vento Regional Trail,8,June,30,2018,4:00-6:00 PM,Yes,NA,2,1,0,0,0,0
Hg,Saint Paul,Hidden Falls-Crosby Farm Regional Park,2,June,30,2018,2:00-4:00 PM,Yes,NA,7,4,8,0,0,0
Hg,Saint Paul,Sam Morgan Regional Trail,3,June,30,2018,12:00-2:00 PM,Yes,NA,15,11,0,0,0,0
Hg,Saint Paul,Cherokee Heights Regional Park,5,June,30,2018,8:00-10:00 AM,No,6.16.18 8am-10am,17,8,6,0,0,0
NG,Ramsey County,Cherokee Heights Regional Park,4,July,10,2018,12:00-2:00 PM,Yes,NA,0,0,14,0,0,0
NG,Ramsey County,Lilydale-Harriet Island Regional Park,1,July,10,2018,10:00-12:00 PM,Yes,NA,8,6,40,2,0,0
NG,Ramsey County,Mississippi Gorge Regional Park,7,July,7,2018,10:00-12:00 PM,Yes,NA,12,14,1,0,0,0
NG,Ramsey County,Hidden Falls-Crosby Farm Regional Park,5,July,7,2018,8:00-10:00 AM,Yes,NA,0,0,0,0,0,0
NG,Ramsey County,Trout Brook Regional Trail,1,July,5,2018,8:00-10:00 AM,Yes,NA,8,5,2,0,0,0
NG,Ramsey County,Trout Brook Regional Trail,1,July,15,2018,4:00-6:00 PM,Yes,NA,5,2,3,0,0,0
Hg,Saint Paul,Indian Mounds Regional Park,3,July,22,NA,12:00-2:00 PM,Yes,NA,4,8,1,0,0,0
Hg,Saint Paul,Lilydale-Harriet Island Regional Park,1,July,22,2018,10:00-12:00 PM,Yes,NA,19,7,43,0,0,0
Hg,Saint Paul,Cherokee Heights Regional Park,5,July,22,2018,8:00-10:00 AM,Yes,NA,4,11,0,0,0,0
Hg,Saint Paul,Cherokee Heights Regional Park,5,July,21,2018,2:00-4:00 PM,Yes,NA,2,7,0,0,0,0
Hg,Saint Paul,Cherokee Heights Regional Park,4,July,21,2018,12:00-2:00 PM,Yes,NA,0,0,3,0,0,0
Hg,Saint Paul,Mississippi Gorge Regional Park,1,July,15,2018,4:00-6:00 PM,Yes,NA,11,8,0,0,0,0
Hg,Saint Paul,Hidden Falls-Crosby Farm Regional Park,1,July,15,2018,2:00-4:00 PM,Yes,NA,1,9,10,0,0,0
Hg,Saint Paul,"Como Regional Park, Zoo, & Conservatory",7,July,14,2018,6:00-8:00 PM,Yes,NA,3,17,0,0,0,0
Hg,Saint Paul,Hidden Falls-Crosby Farm Regional Park,2,July,14,2018,12:00-2:00 PM,Yes,NA,9,7,10,0,0,0
PD,Saint Paul,Sam Morgan Regional Trail,5,July,22,2018,10:00-12:00 PM,Yes,NA,17,9,0,0,0,0
PD,Saint Paul,Hidden Falls-Crosby Farm Regional Park,1,July,21,2018,12:00-2:00 PM,Yes,NA,3,29,16,0,0,0
PD,Saint Paul,Mississippi Gorge Regional Park,5,July,14,2018,12:00-2:00 PM,Yes,NA,53,31,0,0,0,0
PD,Saint Paul,Indian Mounds Regional Park,4,July,7,2018,2:00-4:00 PM,Yes,NA,25,21,10,0,0,0
AP,Saint Paul,Lilydale-Harriet Island Regional Park,3,July,9,2018,4:00-6:00 PM,Yes,NA,2,18,0,0,0,0
AP,Saint Paul,Trout Brook Regional Trail,1,July,14,2018,2:00-4:00 PM,Yes,NA,8,11,4,0,0,0
PD,Saint Paul,Mississippi Gorge Regional Park,6,June,30,2018,4:00-6:00 PM,Yes,NA,33,41,16,0,0,0
PD,Saint Paul,Sam Morgan Regional Trail,6,June,27,2018,2:00-4:00 PM,Yes,NA,19,9,8,0,0,0
PD,Saint Paul,Sam Morgan Regional Trail,3,June,27,2018,4:00-6:00 PM,Yes,NA,17,7,0,0,0,0
PD,Saint Paul,Phalen Regional Park,11,June,25,2018,10:00-12:00 PM,Yes,NA,0,0,8,0,0,0
MAH,Saint Paul,Bruce Vento Regional Trail,6,June,7,2018,10:00-12:00 PM,Yes,NA,16,34,0,0,0,0
MAH,Saint Paul,Mississippi Gorge Regional Park,13,June,7,2018,12:00-2:00 PM,Yes,NA,41,15,5,0,0,0
MAH,Saint Paul,Bruce Vento Regional Trail,6,June,8,2018,10:00-12:00 PM,Yes,NA,14,7,0,0,0,0
MAH,Saint Paul,Mississippi Gorge Regional Park,2,June,12,2018,2:00-4:00 PM,Yes,NA,5,2,0,0,0,0
MAH,Saint Paul,Trout Brook Regional Trail,1,June,19,2018,10:00-12:00 PM,Yes,NA,0,3,3,0,0,0
MAH,Saint Paul,Bruce Vento Regional Trail,5,June,25,2018,8:00-10:00 AM,Yes,NA,6,6,3,0,0,0
NG,Saint Paul,"Como Regional Park, Zoo, & Conservatory",5,July,28,2018,8:00-10:00 AM,Yes,NA,5,20,0,0,0,0
NG,Saint Paul,Indian Mounds Regional Park,4,July,27,2018,10:00-12:00 PM,Yes,NA,9,4,14,0,0,0
NG,Ramsey County,Sam Morgan Regional Trail,4,July,27,2018,8:00-10:00 AM,Yes,NA,7,6,0,0,0,0
NG,Saint Paul,Phalen Regional Park,11,August,4,2018,12:00-2:00 PM,Yes,NA,0,0,16,0,0,0
NG,Saint Paul,Trout Brook Regional Trail,1,August,13,2018,10:00-12:00 PM,Yes,NA,2,0,2,0,0,0
NG,Saint Paul,Phalen Regional Park,1,August,10,2018,6:00-8:00 PM,Yes,NA,45,138,21,0,0,0
NG,Saint Paul,Bruce Vento Regional Trail,6,August,10,2018,4:00-6:00 PM,Yes,NA,9,12,0,0,0,0
NG,Saint Paul,Bruce Vento Regional Trail,5,August,9,2018,10:00-12:00 PM,Yes,NA,3,7,4,0,0,0
NG,Saint Paul,Phalen Regional Park,9,August,10,2018,8:00-10:00 AM,No,8/9/18 8-10am,0,0,44,0,0,0
PD,Saint Paul,Trout Brook Regional Trail,1,August,4,2018,10:00-12:00 PM,Yes,NA,5,4,4,0,0,0
PD,Saint Paul,Trout Brook Regional Trail,1,August,1,2018,12:00-2:00 PM,Yes,NA,5,4,1,0,0,0
PD,Saint Paul,Sam Morgan Regional Trail,2,July,30,2018,2:00-4:00 PM,Yes,NA,24,5,0,0,0,0
AP,Saint Paul,"Como Regional Park, Zoo, & Conservatory",22,July,21,2018,12:00-2:00 PM,Yes,NA,0,0,52,0,0,0
