Q29,Q1,Q6,Q17,Q18,Q20,Q22,Q26,Q27,Q28,Q18_1,Q22_1,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
Rwc,Anoka County,Coon Creek Regional Trail,5,August,8,2018,10:00-12:00 PM,Yes,NA,10,16,0,0,0,0
Rwc,Anoka County,Bunker Hills Regional Park,6,August,8,2018,8:00-10:00 AM,Yes,NA,0,31,41,0,0,0
Mc,Anoka County,Coon Creek Regional Trail,4,August,7,2018,12:00-2:00 PM,Yes,NA,10,22,0,0,0,0
Mc,Anoka County,Bunker Hills Regional Park,2,August,7,2018,10:00-12:00 PM,Yes,NA,0,0,9,0,0,0
Mc,Anoka County,Mississippi West Regional Park,2,August,6,2018,10:00-12:00 PM,Yes,NA,1,5,0,0,0,0
Rwc,Anoka County,Mississippi West Regional Park,2,August,5,2018,6:00-8:00 PM,Yes,NA,4,1,0,0,0,0
Rwc,Anoka County,Martin-Island-Linwood Regional Park,2,August,5,2018,2:00-4:00 PM,Yes,NA,0,0,15,0,0,0
Mc,Anoka County,Rice Creek North Regional Trail,4,August,5,2018,4:00-6:00 PM,Yes,NA,39,25,0,0,0,0
Mc,Anoka County,Rice Creek Chain of Lakes Park Reserve,6,August,5,2018,2:00-4:00 PM,Yes,NA,52,19,0,0,0,0
Rwc,Anoka County,East Anoka County Regional Trail,3,August,5,2018,10:00-12:00 PM,Yes,NA,17,8,0,0,0,0
Rwc,Anoka County,Bunker Hills Regional Trail,3,August,5,2018,8:00-10:00 AM,Yes,NA,20,17,0,0,0,0
Rwc,Anoka County,Martin-Island-Linwood Regional Park,4,August,4,2018,6:00-8:00 PM,Yes,NA,0,7,5,0,0,0
Mc,Anoka County,Bunker Hills Regional Trail,2,August,4,2018,2:00-4:00 PM,Yes,NA,3,8,0,0,0,0
Mc,Anoka County,East Anoka County Regional Trail,1,August,4,2018,12:00-2:00 PM,Yes,NA,5,3,0,0,0,0
Rwc,Anoka County,Martin-Island-Linwood Regional Park,2,August,15,2018,4:00-6:00 PM,Yes,NA,0,0,8,0,0,0
Mc,Anoka County,Anoka County Riverfront Regional Park,3,August,14,2018,2:00-4:00 PM,Yes,NA,10,12,0,0,0,0
Mc,Anoka County,Rice Creek West Regional Trail,1,August,14,2018,12:00-2:00 PM,Yes,NA,2,13,0,0,0,0
Mc,Anoka County,Rice Creek Chain of Lakes Park Reserve,2,August,12,2018,6:00-8:00 PM,Yes,NA,1,22,40,0,0,0
Mc,Anoka County,Rice Creek North Regional Trail,3,August,12,2018,4:00-6:00 PM,Yes,NA,7,5,0,0,0,0
Rwc,Anoka County,Mississippi West Regional Park,1,August,12,2018,8:00-10:00 AM,Yes,NA,5,13,9,0,0,0
Rwc,Anoka County,Coon Rapids Dam Regional Park,4,August,11,2018,4:00-6:00 PM,Yes,NA,41,219,0,0,0,0
Rwc,Anoka County,Mississippi River Regional Trail,4,August,11,2018,2:00-4:00 PM,Yes,NA,14,14,0,0,0,0
Rwc,Anoka County,Mississippi West Regional Park,1,August,11,2018,12:00-2:00 PM,Yes,NA,2,21,22,0,0,0
Mc,Anoka County,Anoka County Riverfront Regional Park,4,August,10,2018,4:00-6:00 PM,Yes,NA,12,12,0,0,0,0
Mc,Anoka County,Rice Creek West Regional Trail,14,August,10,2018,2:00-4:00 PM,Yes,NA,3,55,0,0,0,0
Mc,Anoka County,Rice Creek North Regional Trail,4,August,9,2018,2:00-4:00 PM,Yes,NA,35,18,0,0,0,0
Rwc,Anoka County,Rice Creek Chain of Lakes Park Reserve,6,August,9,2018,12:00-2:00 PM,Yes,NA,10,8,0,0,0,0
Rwc,Anoka County,Rum River Regional Trail,1,August,8,2018,6:00-8:00 PM,Yes,NA,0,9,0,0,0,0
Rwc,Anoka County,Central Anoka County Regional Trail,2,August,8,2018,4:00-6:00 PM,Yes,NA,10,6,0,0,0,0
Mb,Anoka County,Central Anoka County Regional Trail,1,August,14,2018,4:00-6:00 PM,Yes,NA,1,1,0,0,0,0
Mb,Anoka County,Rum River Regional Trail,4,August,14,2018,2:00-4:00 PM,Yes,NA,7,1,0,0,0,0
Mb,Anoka County,Coon Creek Regional Trail,1,August,4,2018,10:00-12:00 PM,Yes,NA,7,3,0,0,0,0
Mb,Anoka County,Bunker Hills Regional Park,6,August,4,2018,8:00-10:00 AM,Yes,NA,8,6,16,0,0,0
Mb,Anoka County,Mississippi West Regional Park,1,August,2,2018,2:00-4:00 PM,Yes,NA,1,0,10,0,0,0
Jm,Anoka County,Anoka County Riverfront Regional Park,1,August,13,2018,6:00-8:00 PM,Yes,NA,0,0,1,0,0,0
Jm,Anoka County,Rice Creek West Regional Trail,1,August,13,2018,4:00-6:00 PM,Yes,NA,2,1,0,0,0,0
Jm,Anoka County,Central Anoka County Regional Trail,1,August,12,2018,4:00-6:00 PM,Yes,NA,8,3,0,0,0,0
Jm,Anoka County,Rum River Regional Trail,2,August,12,2018,2:00-4:00 PM,Yes,NA,4,2,0,0,0,0
Jm,Anoka County,Rice Creek North Regional Trail,7,August,17,2018,10:00-12:00 PM,Yes,NA,0,2,0,0,0,0
Jm,Anoka County,Rice Creek Chain of Lakes Park Reserve,9,August,17,2018,8:00-10:00 AM,Yes,NA,1,0,0,0,0,0
Jm,Anoka County,Bunker Hills Regional Park,4,August,19,2018,2:00-4:00 PM,Yes,NA,15,5,0,0,0,0
Jm,Anoka County,Coon Rapids Dam Regional Park,8,August,19,2018,10:00-12:00 PM,Yes,NA,6,4,0,0,0,0
Mb,Anoka County,Lake George Regional Park,4,August,20,2018,6:00-8:00 PM,Yes,NA,0,6,0,0,0,0
Mb,Anoka County,Mississippi River Regional Trail,6,August,13,2018,10:00-12:00 PM,Yes,NA,7,2,0,0,0,0
Mb,Anoka County,Rum River Central Regional Park,1,August,20,2018,4:00-6:00 PM,Yes,NA,0,3,8,0,0,0
Mb,Anoka County,Mississippi West Regional Park,2,August,19,2018,6:00-8:00 PM,Yes,NA,6,0,0,0,0,0
Mb,Anoka County,Coon Rapids Dam Regional Park,4,August,13,2018,8:00-10:00 AM,Yes,NA,23,19,0,0,0,0
Jm,Anoka County,Coon Rapids Dam Regional Park,3,August,20,2018,4:00-6:00 PM,Yes,NA,2,5,0,0,0,0
Jm,Anoka County,Mississippi River Regional Trail,7,August,20,2018,2:00-4:00 PM,Yes,NA,2,0,0,0,0,0
Mb,Anoka County,Mississippi River Regional Trail,4,June,25,2018,10:00-12:00 PM,Yes,NA,5,0,0,0,0,0
Mb,Anoka County,Rum River Central Regional Park,1,August,28,2018,10:00-12:00 PM,Yes,NA,0,0,3,0,0,0
Mb,Anoka County,Lake George Regional Park,1,August,28,2018,8:00-10:00 AM,Yes,NA,0,0,5,0,0,0
Mb,Anoka County,Rum River Central Regional Park,1,August,22,2018,10:00-12:00 PM,Yes,NA,0,0,12,0,0,0
Mb,Anoka County,Lake George Regional Park,1,August,22,2018,8:00-10:00 AM,Yes,NA,4,2,24,0,0,0
Jm,Anoka County,Coon Rapids Dam Regional Park,1,August,27,2018,4:00-6:00 PM,Yes,NA,8,10,12,0,0,0
Jm,Anoka County,Mississippi River Regional Trail,2,August,27,2018,2:00-4:00 PM,Yes,NA,0,0,0,0,0,0
Mc,Anoka County,Bunker Hills Regional Park,3,August,30,2018,6:00-8:00 PM,Yes,NA,35,25,0,0,0,0
Mc,Anoka County,Coon Creek Regional Trail,6,August,30,2018,4:00-6:00 PM,Yes,NA,20,11,0,0,0,0
Mc,Anoka County,Lake George Regional Park,5,August,27,2018,12:00-2:00 PM,Yes,NA,3,2,0,0,0,0
Mc,Anoka County,Coon Rapids Dam Regional Park,4,August,26,2018,4:00-6:00 PM,Yes,NA,57,127,0,0,0,0
Mc,Anoka County,Mississippi River Regional Trail,5,August,26,2018,2:00-4:00 PM,Yes,NA,13,28,0,0,0,0
Rwc,Anoka County,Rum River Central Regional Park,1,August,25,2018,12:00-2:00 PM,Yes,NA,7,9,58,0,0,0
Rwc,Anoka County,Lake George Regional Park,4,August,25,2018,10:00-12:00 PM,Yes,NA,5,8,0,0,0,0
Mc,Anoka County,Martin-Island-Linwood Regional Park,4,August,22,2018,2:00-4:00 PM,Yes,NA,0,7,18,0,0,0
Mc,Anoka County,Martin-Island-Linwood Regional Park,4,August,19,2018,2:00-4:00 PM,Yes,NA,0,50,41,0,0,0
Rwc,Anoka County,Central Anoka County Regional Trail,2,August,19,2018,10:00-12:00 PM,Yes,NA,13,17,0,0,0,0
Rwc,Anoka County,Rum River Regional Trail,3,August,19,2018,8:00-10:00 AM,Yes,NA,30,32,0,0,0,0
Mc,Anoka County,East Anoka County Regional Trail,5,August,18,2018,2:00-4:00 PM,Yes,NA,8,11,0,0,0,0
Mc,Anoka County,Bunker Hills Regional Trail,1,August,18,2018,12:00-2:00 PM,Yes,NA,69,61,0,0,0,0
Mc,Anoka County,Rice Creek North Regional Trail,7,September,2,2018,6:00-8:00 PM,Yes,NA,59,6,0,0,0,0
Mc,Anoka County,Rice Creek Chain of Lakes Park Reserve,10,September,2,2018,4:00-6:00 PM,Yes,NA,8,25,0,0,0,0
Rwc,Anoka County,Lake George Regional Park,1,September,2,2018,12:00-2:00 PM,Yes,NA,1,0,39,0,0,0
Rwc,Anoka County,Rum River Central Regional Park,1,September,2,2018,10:00-12:00 PM,Yes,NA,4,5,17,0,0,0
Mc,Anoka County,Bunker Hills Regional Trail,1,September,1,2018,6:00-8:00 PM,Yes,NA,102,163,0,0,0,0
Mc,Anoka County,East Anoka County Regional Trail,3,September,1,2018,4:00-6:00 PM,Yes,NA,17,5,0,0,0,0
Mb,Anoka County,Bunker Hills Regional Park,2,September,2,2018,2:00-4:00 PM,Yes,NA,0,0,3,0,0,0
Mb,Anoka County,Coon Creek Regional Trail,3,September,2,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
Mb,Anoka County,Martin-Island-Linwood Regional Park,3,June,17,2018,12:00-2:00 PM,Yes,NA,0,0,0,0,0,0
Mc,Anoka County,Rum River Regional Trail,3,June,17,2018,2:00-4:00 PM,Yes,NA,6,0,0,0,0,0
Mc,Anoka County,Central Anoka County Regional Trail,2,June,17,2018,12:00-2:00 PM,Yes,NA,0,2,0,0,0,0
Rwc,Anoka County,East Anoka County Regional Trail,4,June,17,2018,10:00-12:00 PM,Yes,NA,4,1,0,0,0,0
Rwc,Anoka County,Bunker Hills Regional Trail,3,June,17,2018,8:00-10:00 AM,Yes,NA,12,2,0,0,0,0
Jm,Anoka County,Anoka County Riverfront Regional Park,4,September,1,2018,12:00-2:00 PM,Yes,NA,3,6,0,0,0,0
Jm,Anoka County,Rice Creek West Regional Trail,9,September,1,2018,10:00-12:00 PM,Yes,NA,2,1,0,0,0,0
