Q29,Q1,Q10,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
AA,Minneapolis Park and Recreation Board,Kenilworth Regional Trail,4,June,5,2018,8:00-10:00 AM,Yes,NA,101,20,0,0,0,0
AA,Minneapolis Park and Recreation Board,Luce Line Regional Trail,1,June,4,2018,12:00-2:00 PM,Yes,NA,4,3,0,0,0,0
js,Minneapolis Park and Recreation Board,Nokomis-Hiawatha Regional Park,8,June,7,2018,12:00-2:00 PM,Yes,NA,6,32,26,0,0,0
js,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,36,June,7,2018,2:00-4:00 PM,Yes,NA,0,7,0,0,0,0
js,Minneapolis Park and Recreation Board,Nokomis-Hiawatha Regional Park,6,June,8,2018,12:00-2:00 PM,Yes,NA,0,0,43,0,0,0
CS,Minneapolis Park and Recreation Board,North Mississippi Regional Park,1,May,26,2018,4:00-6:00 PM,Yes,NA,2,0,5,0,0,0
DM,Minneapolis Park and Recreation Board,Nokomis-Hiawatha Regional Park,21,June,10,2018,10:00-12:00 PM,Yes,NA,0,9,0,0,0,0
DM,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,30,June,9,2018,4:00-6:00 PM,No,6/16/18,1,11,9,0,0,0
DM,Minneapolis Park and Recreation Board,St. Anthony Parkway Regional Trail,2,June,9,2018,10:00-12:00 PM,Yes,NA,0,4,0,0,0,0
DM,Minneapolis Park and Recreation Board,Northeast Diagonal Regional Trail,9,June,9,2018,8:00-10:00 AM,Yes,NA,2,3,0,0,0,0
DM,Minneapolis Park and Recreation Board,Shingle Creek Regional Trail,8,June,8,2018,4:00-6:00 PM,Yes,NA,8,11,0,0,0,0
DM,Minneapolis Park and Recreation Board,North Mississippi Regional Park,7,June,8,2018,2:00-4:00 PM,Yes,NA,0,0,12,0,0,0
DM,Minneapolis Park and Recreation Board,Mississippi Gorge Regional Park,1,June,7,2018,2:00-4:00 PM,Yes,NA,1,7,2,0,0,0
DM,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,42,June,6,2018,10:00-12:00 PM,Yes,NA,17,23,0,0,0,0
DM,Minneapolis Park and Recreation Board,Nokomis-Hiawatha Regional Park,10,June,6,2018,8:00-10:00 AM,Yes,NA,2,9,0,0,0,0
DM,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,38,June,5,2018,4:00-6:00 PM,Yes,NA,6,54,0,0,0,0
Dan,Minneapolis Park and Recreation Board,Minnehaha Regional Park,10,June,7,2018,8:00-10:00 AM,Yes,NA,0,0,106,5,0,0
DM,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,25,June,11,2018,12:00-2:00 PM,Yes,NA,0,6,3,0,0,0
Tl,Minneapolis Park and Recreation Board,Minnehaha Regional Park,8,June,8,2018,6:00-8:00 PM,Yes,NA,16,18,10,0,0,0
Tl,Minneapolis Park and Recreation Board,Theodore Wirth Regional Park,5,June,3,2018,6:00-8:00 PM,Yes,NA,12,9,0,0,0,0
Tl,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,21,June,2,2018,6:00-8:00 PM,No,"5/26, 6pm, site 4",4,11,5,0,0,0
Tl,Minneapolis Park and Recreation Board,Victory (Wirth) Memorial Parkway Regional Trail,24,June,3,2018,4:00-6:00 PM,Yes,NA,37,69,0,0,0,0
Tl,Minneapolis Park and Recreation Board,Luce Line Regional Trail,5,June,5,2018,4:00-6:00 PM,Yes,NA,9,7,0,0,0,0
Tl,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,31,June,10,2018,8:00-10:00 AM,Yes,NA,7,9,1,0,0,0
AA,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,4,June,11,2018,2:00-4:00 PM,Yes,NA,3,2,0,0,0,0
AA,Minneapolis Park and Recreation Board,Above the Falls Regional Park,12,June,11,2018,12:00-2:00 PM,Yes,NA,5,9,0,0,0,0
AA,Minneapolis Park and Recreation Board,Luce Line Regional Trail,1,June,10,2018,10:00-12:00 PM,Yes,NA,6,2,0,0,0,0
AA,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,55,June,9,2018,6:00-8:00 PM,Yes,NA,59,80,0,0,0,0
AA,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,5,June,9,2018,4:00-6:00 PM,Yes,NA,11,158,0,0,0,0
AA,Minneapolis Park and Recreation Board,Mississippi Gorge Regional Park,7,June,8,2018,4:00-6:00 PM,Yes,NA,39,58,4,0,0,0
AA,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,42,June,8,2018,2:00-4:00 PM,Yes,NA,110,79,0,0,0,0
DM,Minneapolis Park and Recreation Board,Nokomis-Hiawatha Regional Park,18,June,12,2018,6:00-8:00 PM,Yes,NA,0,0,44,0,0,0
DM,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,36,June,12,2018,2:00-4:00 PM,Yes,NA,9,2,0,0,0,0
AA,Minneapolis Park and Recreation Board,Cedar Lake Regional Trail,7,June,12,2018,6:00-8:00 PM,Yes,NA,32,3,0,0,0,0
AA,Minneapolis Park and Recreation Board,Northeast Diagonal Regional Trail,5,June,16,2018,4:00-6:00 PM,Yes,NA,6,3,0,0,0,0
AA,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,7,June,16,2018,2:00-4:00 PM,Yes,NA,27,118,0,0,0,0
AA,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,48,June,15,2018,2:00-4:00 PM,Yes,NA,10,18,0,0,0,0
DM,Minneapolis Park and Recreation Board,Above the Falls Regional Park,11,June,15,2018,8:00-10:00 AM,Yes,NA,11,1,0,0,0,0
DM,Minneapolis Park and Recreation Board,Above the Falls Regional Park,10,June,15,2018,10:00-12:00 PM,Yes,NA,5,3,4,0,0,0
DM,Minneapolis Park and Recreation Board,Minnehaha Parkway Regional Trail,24,June,15,2018,12:00-2:00 PM,Yes,NA,0,1,0,0,0,0
DM,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,52,June,18,2018,2:00-4:00 PM,No,6/11/18 2 - 4 pm,0,0,11,0,0,0
DM,Minneapolis Park and Recreation Board,Above the Falls Regional Park,5,June,21,2018,8:00-10:00 AM,Yes,NA,24,5,0,0,0,0
DM,Minneapolis Park and Recreation Board,Luce Line Regional Trail,1,June,20,2018,10:00-12:00 PM,Yes,NA,1,1,0,0,0,0
DM,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,4,June,19,2018,6:00-8:00 PM,Yes,NA,0,4,0,0,0,0
DM,Minneapolis Park and Recreation Board,Ridgeway Parkway Regional Trail,2,June,19,2018,4:00-6:00 PM,Yes,NA,0,2,0,0,0,0
AA,Minneapolis Park and Recreation Board,Ridgeway Parkway Regional Trail,2,June,24,2018,4:00-6:00 PM,Yes,NA,0,4,0,0,0,0
AA,Minneapolis Park and Recreation Board,Columbia Parkway Regional Trail,1,June,24,2018,2:00-4:00 PM,Yes,NA,3,5,0,0,0,0
AA,Minneapolis Park and Recreation Board,St. Anthony Parkway Regional Trail,7,June,23,2018,4:00-6:00 PM,No,6/30/2018,5,3,0,0,0,0
AA,Minneapolis Park and Recreation Board,North Mississippi Regional Park,4,June,23,2018,2:00-4:00 PM,No,6/30/2018,2,3,10,0,0,0
AA,Minneapolis Park and Recreation Board,Luce Line Regional Trail,5,June,23,2018,8:00-10:00 AM,Yes,NA,1,6,0,0,0,0
AA,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,1,June,22,2018,4:00-6:00 PM,No,6/15/2018,9,43,0,0,0,0
AA,Minneapolis Park and Recreation Board,Minneapolis Chain of Lakes Regional Park,56,June,22,2018,12:00-2:00 PM,Yes,NA,140,44,0,0,0,0
AA,Minneapolis Park and Recreation Board,Central Mississippi Riverfront Regional Park,19,June,21,2018,6:00-8:00 PM,Yes,NA,1,56,0,0,0,0
AA,Minneapolis Park and Recreation Board,Shingle Creek Regional Trail,2,June,20,2018,2:00-4:00 PM,Yes,NA,10,8,0,0,0,0
AA,Minneapolis Park and Recreation Board,North Mississippi Regional Park,7,June,20,2018,12:00-2:00 PM,Yes,NA,2,0,13,0,0,0
AA,Minneapolis Park and Recreation Board,Kenilworth Regional Trail,4,June,19,2018,4:00-6:00 PM,No,6/12/2018,121,25,0,0,0,0
AA,Minneapolis Park and Recreation Board,Kenilworth Regional Trail,3,June,18,2018,2:00-4:00 PM,Yes,NA,7,4,0,0,0,0
AA,Minneapolis Park and Recreation Board,Cedar Lake Regional Trail,11,June,18,2018,12:00-2:00 PM,Yes,NA,7,10,0,0,0,0
DM,Minneapolis Park and Recreation Board,Cedar Lake Regional Trail,3,June,24,2018,6:00-8:00 PM,Yes,NA,25,2,0,0,0,0
DM,Minneapolis Park and Recreation Board,Mississippi Gorge Regional Park,8,June,23,2018,6:00-8:00 PM,Yes,NA,182,15,5,0,0,0
DM,Minneapolis Park and Recreation Board,Minnehaha Regional Park,15,June,23,2018,4:00-6:00 PM,Yes,NA,102,75,15,0,0,0
DM,Minneapolis Park and Recreation Board,Above the Falls Regional Park,2,June,23,2018,8:00-10:00 AM,Yes,NA,7,5,0,0,0,0
DM,Minneapolis Park and Recreation Board,Nokomis-Hiawatha Regional Park,7,June,22,2018,6:00-8:00 PM,Yes,NA,41,5,17,0,0,0
