Q29,Q1,Q15,Q17,Q17_1,Q21,Q19,Q26,Q27,Q28,Q18,Q22,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trail,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
JS,Three Rivers Park District,Coon Rapids Dam Regional Park,3,June,7,2018,4:00-6:00 PM,Yes,NA,37,80,0,0,0,0
JS,Three Rivers Park District,Shingle Creek Regional Trail,41,June,7,2018,12:00-2:00 PM,Yes,NA,0,4,0,0,0,0
JS,Three Rivers Park District,Crystal Lake Regional Trail,6,June,6,2018,8:00-10:00 AM,Yes,NA,0,2,0,0,0,0
JS,Three Rivers Park District,Elm Creek Park Reserve,2,June,5,2018,12:00-2:00 PM,Yes,NA,16,0,0,0,0,0
JS,Three Rivers Park District,Crystal Lake Regional Trail,4,June,3,2018,12:00-2:00 PM,Yes,NA,7,4,0,0,0,0
JS,Three Rivers Park District,Northeast Diagonal Regional Trail,1,June,3,2018,10:00-12:00 PM,Yes,NA,13,11,0,0,0,0
JS,Three Rivers Park District,Silverwood Special Recreation Feature,1,June,3,2018,8:00-10:00 AM,Yes,NA,0,17,54,0,0,0
JS,Three Rivers Park District,Silverwood Special Recreation Feature,1,June,1,2018,4:00-6:00 PM,Yes,NA,0,9,113,0,0,0
JS,Three Rivers Park District,Northeast Diagonal Regional Trail,1,June,1,2018,2:00-4:00 PM,Yes,NA,14,7,0,0,0,0
JS,Three Rivers Park District,Crow-Hassan Park Reserve,5,June,3,2018,2:00-4:00 PM,Yes,NA,0,0,0,0,0,0
JS,Three Rivers Park District,Hyland Lake Park Reserve,3,June,3,2018,6:00-8:00 PM,Yes,NA,14,14,12,0,0,0
JS,Three Rivers Park District,Nine Mile Creek Regional Trail,44,June,3,2018,4:00-6:00 PM,Yes,NA,34,12,0,0,0,0
JS,Three Rivers Park District,Lake Independence Regional Trail,9,June,7,2018,12:00-2:00 PM,Yes,NA,0,6,0,0,0,0
JS,Three Rivers Park District,Baker Park Reserve,2,June,7,2018,10:00-12:00 PM,Yes,NA,0,3,0,0,0,0
JS,Three Rivers Park District,Nokomis-Minnesota River Regional Trail,5,June,7,2018,6:00-8:00 PM,Yes,NA,6,5,0,0,0,0
