Q29,Q1,Q11,Q17,Q17_1,Q19,Q21,Q26,Q27,Q28,Q18,Q20,Q23,Q24,Q26_1,Q27_1
What are your initials?,Agency Name,Park or Trails,Site Entrance Number,What month is it?,What day of the month is it?,What is the year?,Which timeslot best represents the time you will be onsite to conduct the count?,Is this a scheduled count? (was this count originally scheduled for the date and timeblock previously indicated?),"If not, when was it scheduled? Include date and time.","Bikes

Indicate total number of bikes, tricycles, unicycles, motorcycles. Count people, not the number of bikes. If there are 2 people on 1 bike, count it as 2.","Pedestrian/Skaters

Indicate total number of walkers, joggers, runners, baby strollers, skateboarders, inline and roller skaters, people in wheelchairs, etc.","Vehicles

Indicate total number of cars, vans, pickup trucks, and metro mobility van/buses.

Count the number of vehicles, not the number of people in them.","Buses

Indicate total number of charter, school, church group vehicles that hold more than 8 people. Be sure that the bus enters the park. Metro Transit buses on regular routes never enter parks and are NOT counted. 

Count the number of buses, not the number of people in them.","Horse Riders

Indicate total number of people on horses, not the number of horses. Two people on one horse =2 visits. Do not count mounted police or park patrols.","Boaters

Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category)."
LM,Ramsey County,Battle Creek Regional Park,10,June,19,2018,10:00-12:00 PM,Yes,NA,0,0,15,0,0,0
LM,Minneapolis Park and Recreation Board,Battle Creek Regional Park,10,June,10,2018,10:00-12:00 PM,Yes,NA,0,0,15,0,0,0
GE,Ramsey County,Lakes Link Regional Trail,9,June,25,2018,4:00-6:00 PM,Yes,NA,18,49,0,0,0,0
GE,Ramsey County,Bruce Vento Regional Trail,4,June,23,2018,4:00-6:00 PM,Yes,NA,3,0,0,0,0,0
GE,Ramsey County,Keller Regional Park,7,June,23,2018,12:00-2:00 PM,Yes,NA,0,0,67,0,0,0
GE,Ramsey County,Rice Creek West Regional Trail,1,June,23,2018,10:00-12:00 PM,Yes,NA,2,1,0,0,0,0
EL,Ramsey County,Trout Brook Regional Trail,4,June,26,2018,6:00-8:00 PM,Yes,NA,0,0,0,0,0,0
EL,Ramsey County,Bruce Vento Regional Trail,1,June,23,2018,6:00-8:00 PM,Yes,NA,2,0,0,0,0,0
EL,Ramsey County,Battle Creek Regional Park,3,June,23,2018,4:00-6:00 PM,Yes,NA,1,3,11,0,0,0
EL,Ramsey County,Battle Creek Regional Park,22,June,23,2018,2:00-4:00 PM,Yes,NA,2,0,0,0,0,0
EL,Ramsey County,Trout Brook Regional Trail,2,June,20,2018,6:00-8:00 PM,Yes,NA,9,0,0,0,0,0
EL,Ramsey County,Trout Brook Regional Trail,2,June,19,2018,2:00-4:00 PM,Yes,NA,0,1,0,0,0,0
EL,Ramsey County,Battle Creek Regional Park,24,June,15,2018,2:00-4:00 PM,Yes,NA,0,4,0,0,0,0
GE,Ramsey County,Trout Brook Regional Trail,2,July,11,2018,12:00-2:00 PM,Yes,NA,0,12,0,0,0,0
GE,Ramsey County,Lakes Link Regional Trail,5,July,11,2018,10:00-12:00 PM,Yes,NA,2,10,0,0,0,0
GE,Ramsey County,Bald Eagle-Otter Lake Regional Park,3,July,9,2018,6:00-8:00 PM,Yes,NA,0,0,19,0,0,0
GE,Ramsey County,Bald Eagle-Otter Lake Regional Park,8,July,9,2018,4:00-6:00 PM,Yes,NA,0,0,0,0,0,0
GE,Ramsey County,Keller Regional Park,7,July,9,2018,12:00-2:00 PM,Yes,NA,0,0,13,0,0,0
GE,Ramsey County,Lakes Link Regional Trail,6,July,8,2018,6:00-8:00 PM,Yes,NA,10,16,0,0,0,0
GE,Ramsey County,Highway 96 Regional Trail,10,July,8,2018,4:00-6:00 PM,Yes,NA,2,0,0,0,0,0
GE,Ramsey County,Rice Creek North Regional Trail,1,July,7,NA,10:00-12:00 PM,Yes,NA,21,12,11,0,0,0
GE,Ramsey County,Bald Eagle-Otter Lake Regional Park,3,July,5,2018,12:00-2:00 PM,Yes,NA,0,0,17,0,0,0
GE,Ramsey County,Bruce Vento Regional Trail,16,July,1,2018,10:00-12:00 PM,Yes,NA,0,0,0.0,0,0,0
GE,Ramsey County,Birch Lake Regional Park,3,June,30,NA,12:00-2:00 PM,Yes,NA,1,0,0,0,0,0
GE,Ramsey County,Lakes Link Regional Trail,3,June,28,2018,6:00-8:00 PM,Yes,NA,7,31,0,0,0,0
GE,Ramsey County,Bruce Vento Regional Trail,1,June,27,2018,8:00-10:00 AM,Yes,NA,8,2,0,0,0,0
Bb,Ramsey County,Rice Creek West Regional Trail,2,July,10,2018,4:00-6:00 PM,Yes,NA,14,18,22,0,0,0
Bb,Ramsey County,Rice Creek North Regional Trail,7,July,10,2018,2:00-4:00 PM,Yes,NA,12,14,16,0,0,0
Bb,Ramsey County,Rice Creek West Regional Trail,1,July,8,2018,4:00-6:00 PM,Yes,NA,14,15,12,0,0,0
Bb,Ramsey County,Rice Creek North Regional Trail,2,July,8,2018,2:00-4:00 PM,Yes,NA,14,17,10,0,0,0
Bb,Ramsey County,Rice Creek West Regional Trail,1,July,7,2018,12:00-2:00 PM,Yes,NA,12,16,10,0,0,0
Bb,Ramsey County,Highway 96 Regional Trail,3,July,7,2018,10:00-12:00 PM,Yes,NA,13,16,7,0,0,0
Bb,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,5,July,5,2018,2:00-4:00 PM,Yes,NA,13,12,8,0,0,0
Bb,Ramsey County,Tony Schmidt Regional Park,1,July,1,2018,6:00-8:00 PM,Yes,NA,15,16,10,0,0,0
Bb,Ramsey County,Highway 96 Regional Trail,4,July,1,2018,12:00-2:00 PM,Yes,NA,6,9,10,0,0,0
Bb,Ramsey County,Highway 96 Regional Trail,13,June,30,2018,2:00-4:00 PM,Yes,NA,13,15,6,0,0,0
Bb,Ramsey County,Long Lake Regional Park,1,June,28,2018,4:00-6:00 PM,Yes,NA,20,25,98,2,0,0
Bb,Ramsey County,Tony Schmidt Regional Park,1,June,26,2018,4:00-6:00 PM,Yes,NA,18,20,7,0,0,0
