Indicate total number of people arriving at the park by boat, not those towing a boat (that's counted in the vehicle category).",Q29 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID11""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID43""}","{""ImportId"":""QID45""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID29_TEXT_77540d44a0a84b7c96d62ef5Topics""}"
6/9/2018 18:00,6/9/2018 18:01,Offline,97.116.7.220,100,0,TRUE,6/9/2018 18:04,R_4S7Zov38iDAZ68v,,,,,44.979988,-93.0797,,EN,GE,Ramsey County,Keller Regional Park,8,June,9,2018,12:00-2:00 PM,Yes,,11,6,0,0,0,0,Unknown
6/9/2018 17:59,6/9/2018 18:00,Offline,97.116.7.220,100,0,TRUE,6/9/2018 18:05,R_k7bTLPhLwcmVfda,,,,,44.980064,-93.079803,,EN,GE,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,13,June,9,2018,10:00-12:00 PM,Yes,,0,0,5,0,0,0,Unknown
6/9/2018 17:58,6/9/2018 17:59,Offline,97.116.7.220,100,0,TRUE,6/9/2018 18:05,R_00qMf3v6YFzDgqc,,,,,44.980158,-93.079906,,EN,GE,Ramsey County,Birch Lake Regional Park,3,June,8,2018,6:00-8:00 PM,Yes,,1,0,0,0,0,0,Unknown
6/9/2018 17:56,6/9/2018 17:58,Offline,97.116.7.220,100,0,TRUE,6/9/2018 18:05,R_oLH99gXpO78hWHI,,,,,44.979958,-93.079875,,EN,GE,Ramsey County,Grass-Vadnais-Snail Lake Regional Park,1,June,8,2018,4:00-6:00 PM,Yes,,12,11,23,0,0,0,Unknown
6/9/2018 20:42,6/9/2018 20:43,Offline,73.164.80.83,100,0,TRUE,6/9/2018 20:44,R_ex5uEDUtMhchLPE,,,,,45.055557,-92.953342,,EN,LM,Ramsey County,Bald Eagle-Otter Lake Regional Park,9,June,9,2018,8:00-10:00 AM,Yes,,0,0,0,0,0,0,Unknown
6/8/2018 20:36,6/8/2018 20:37,Offline,73.164.80.83,100,0,TRUE,6/9/2018 20:44,R_0HyOt1wiWAkOq4T,,,,,45.056096,-92.952066,,EN,LM,Ramsey County,Bald Eagle-Otter Lake Regional Park,3,June,8,2018,6:00-8:00 PM,Yes,,0,2,32,0,0,0,Unknown
6/8/2018 20:35,6/8/2018 20:36,Offline,73.164.80.83,100,0,TRUE,6/9/2018 20:44,R_fA2iVkYCK2jrjdA,,,,,45.056004,-92.952109,,EN,LM,Ramsey County,Rice Creek North Regional Trail,1,June,8,2018,8:00-10:00 AM,Yes,,4,7,4,0,0,0,Unknown
6/5/2018 12:40,6/5/2018 12:41,Offline,73.164.80.83,100,0,TRUE,6/9/2018 20:44,R_8cQrMndG95qej6z,,,,,45.056048,-92.952119,,EN,LM,Ramsey County,Long Lake Regional Park,4,June,5,2018,10:00-12:00 PM,Yes,,17,11,11,1,0,0,Unknown
6/5/2018 12:38,6/5/2018 12:39,Offline,73.164.80.83,100,0,TRUE,6/9/2018 20:44,R_fCPd8Yskl6CbEHk,,,,,45.055928,-92.952377,,EN,LM,Ramsey County,Keller Regional Park,8,June,5,2018,8:00-10:00 AM,Yes,,15,9,0,0,0,0,Unknown
6/15/2018 0:59,6/15/2018 1:01,Offline,66.41.13.58,100,0,TRUE,6/15/2018 1:02,R_37prd6JbdImSNuD,,,,,45.01409912,-93.03050232,,EN,EL,Ramsey County,Bruce Vento Regional Trail,12,June,7,2018,4:00-6:00 PM,No,5/31/2018 16:00,7,7,0,0,0,0,Unknown
