Park,Entrance,Start_time,Class
19,10,1600,2
19,10,1800,2
19,11,800,2
19,11,1000,2
19,11,1200,1
19,11,1400,1
19,11,1600,1
19,11,1800,1
19,12,800,3
19,12,1000,3
19,12,1200,3
19,12,1400,3
19,12,1600,2
19,12,1800,2
20,1,800,2
20,1,1000,1
20,1,1200,1
20,1,1400,1
20,1,1600,1
20,1,1800,2
20,2,800,2
20,2,1000,2
20,2,1200,2
20,2,1400,2
20,2,1600,2
20,2,1800,2
21,1,800,1
21,1,1000,1
21,1,1200,1
21,1,1400,1
21,1,1600,1
21,1,1800,1
21,2,800,3
21,2,1000,3
21,2,1200,3
21,2,1400,3
21,2,1600,3
21,2,1800,3
21,3,800,3
21,3,1000,3
21,3,1200,3
21,3,1400,3
21,3,1600,3
21,3,1800,3
21,5,800,3
21,5,1000,3
21,5,1200,3
21,5,1400,3
21,5,1600,3
21,5,1800,3
21,7,800,2
21,7,1000,2
21,7,1200,2
21,7,1400,2
21,7,1600,2
21,7,1800,2
21,8,800,3
21,8,1000,3
21,8,1200,3
21,8,1400,3
21,8,1600,3
21,8,1800,3
21,9,800,3
21,9,1000,3
21,9,1200,3
21,9,1400,3
21,9,1600,3
21,9,1800,3
22,1,800,1
22,1,1000,1
22,1,1200,1
22,1,1400,1
22,1,1600,1
22,1,1800,1
22,2,800,3
22,2,1000,3
22,2,1200,3
22,2,1400,3
22,2,1600,3
22,2,1800,3
22,3,800,3
22,3,1000,3
22,3,1200,3
22,3,1400,3
22,3,1600,3
22,3,1800,3
23,1,800,1
23,1,1000,1
23,1,1200,1
23,1,1400,1
23,1,1600,1
23,1,1800,1
23,2,800,2
23,2,1000,2
23,2,1200,2
23,2,1400,2
23,2,1600,2
23,2,1800,2
23,3,800,3
23,3,1000,3
23,3,1200,3
23,3,1400,3
23,3,1600,3
23,3,1800,3
23,4,800,3
23,4,1000,3
23,4,1200,3
23,4,1400,3
23,4,1600,3
23,4,1800,3
23,5,800,3
23,5,1000,3
23,5,1200,3
23,5,1400,3
23,5,1600,3
23,5,1800,3
23,7,800,2
23,7,1000,2
23,7,1200,2
23,7,1400,2
23,7,1600,2
23,7,1800,2
23,8,800,1
23,8,1000,1
23,8,1200,1
23,8,1400,1
23,8,1600,1
23,8,1800,1
24,1,800,2
24,1,1000,2
24,1,1200,2
24,1,1400,2
24,1,1600,2
24,1,1800,2
24,2,800,1
24,2,1000,1
24,2,1200,1
24,2,1400,1
24,2,1600,1
24,2,1800,1
24,4,800,2
24,4,1000,2
24,4,1200,2
24,4,1400,2
24,4,1600,2
24,4,1800,2
25,1,800,1
25,1,1000,1
25,1,1200,1
25,1,1400,1
25,1,1600,1
25,1,1800,1
25,2,800,3
25,2,1000,3
25,2,1200,3
25,2,1400,3
25,2,1600,3
25,2,1800,3
25,3,800,3
25,3,1000,3
25,3,1200,3
25,3,1400,3
25,3,1600,3
25,3,1800,3
25,4,800,2
25,4,1000,2
25,4,1200,2
25,4,1400,2
25,4,1600,2
25,4,1800,2
25,5,800,3
25,5,1000,3
25,5,1200,3
25,5,1400,3
25,5,1600,3
25,5,1800,3
26,2,800,1
26,2,1000,1
26,2,1200,1
26,2,1400,1
26,2,1600,1
26,2,1800,1
26,5,800,3
26,5,1000,3
26,5,1200,3
26,5,1400,3
26,5,1600,3
26,5,1800,3
27,1,800,2
27,1,1000,2
27,1,1200,2
27,1,1400,2
27,1,1600,2
27,1,1800,2
27,3,800,3
27,3,1000,3
27,3,1200,3
27,3,1400,3
27,3,1600,3
27,3,1800,3
27,4,800,3
27,4,1000,3
27,4,1200,3
27,4,1400,3
27,4,1600,3
27,4,1800,3
27,5,800,3
27,5,1000,3
27,5,1200,3
27,5,1400,3
27,5,1600,3
27,5,1800,3
28,1,800,1
28,1,1000,1
28,1,1200,1
28,1,1400,1
28,1,1600,1
28,1,1800,1
28,2,800,2
28,2,1000,2
28,2,1200,2
28,2,1400,2
28,2,1600,2
28,2,1800,2
28,3,800,3
28,3,1000,3
28,3,1200,3
28,3,1400,3
28,3,1600,3
28,3,1800,3
28,4,800,3
28,4,1000,3
28,4,1200,3
28,4,1400,3
28,4,1600,3
28,4,1800,3
28,5,800,2
28,5,1000,2
28,5,1200,2
28,5,1400,2
28,5,1600,2
28,5,1800,2
28,7,800,3
28,7,1000,3
28,7,1200,3
28,7,1400,3
28,7,1600,3
28,7,1800,3
28,8,800,3
28,8,1000,3
28,8,1200,3
28,8,1400,3
28,8,1600,3
28,8,1800,3
28,9,800,3
28,9,1000,3
28,9,1200,3
28,9,1400,3
28,9,1600,3
28,9,1800,3
28,10,800,3
28,10,1000,3
28,10,1200,3
28,10,1400,3
28,10,1600,3
28,10,1800,3
28,11,800,2
28,11,1000,2
28,11,1200,2
28,11,1400,2
28,11,1600,2
28,11,1800,2
28,12,800,2
28,12,1000,2
28,12,1200,2
28,12,1400,2
28,12,1600,2
28,12,1800,2
28,13,800,2
28,13,1000,2
28,13,1200,2
28,13,1400,2
28,13,1600,2
28,13,1800,2
28,15,800,3
28,15,1000,3
28,15,1200,3
28,15,1400,3
28,15,1600,3
28,15,1800,3
28,16,800,3
28,16,1000,3
28,16,1200,3
28,16,1400,3
28,16,1600,3
28,16,1800,3
28,17,800,2
28,17,1000,2
28,17,1200,2
28,17,1400,2
28,17,1600,2
28,17,1800,2
28,18,800,3
28,18,1000,3
28,18,1200,3
28,18,1400,3
28,18,1600,3
28,18,1800,3
28,19,800,3
28,19,1000,3
28,19,1200,3
28,19,1400,3
28,19,1600,3
28,19,1800,3
28,20,800,3
28,20,1000,3
28,20,1200,3
28,20,1400,3
28,20,1600,3
28,20,1800,3
28,22,800,3
28,22,1000,3
28,22,1200,3
28,22,1400,3
28,22,1600,3
28,22,1800,3
28,23,800,3
28,23,1000,3
28,23,1200,3
28,23,1400,3
28,23,1600,3
28,23,1800,3
29,1,800,1
29,1,1000,1
29,1,1200,1
29,1,1400,1
29,1,1600,1
29,1,1800,1
29,2,800,1
29,2,1000,1
29,2,1200,1
29,2,1400,1
29,2,1600,1
29,2,1800,1
29,4,800,3
29,4,1000,3
29,4,1200,3
29,4,1400,3
29,4,1600,3
29,4,1800,3
29,5,800,3
29,5,1000,3
29,5,1200,3
29,5,1400,3
29,5,1600,3
29,5,1800,3
29,6,800,3
29,6,1000,3
29,6,1200,3
29,6,1400,3
29,6,1600,3
29,6,1800,3
29,7,800,3
29,7,1000,3
29,7,1200,3
29,7,1400,3
29,7,1600,3
29,7,1800,3
29,8,800,3
29,8,1000,3
29,8,1200,3
29,8,1400,3
29,8,1600,3
29,8,1800,3
29,9,800,2
29,9,1000,2
29,9,1200,2
29,9,1400,2
29,9,1600,2
29,9,1800,2
29,10,800,1
29,10,1000,1
29,10,1200,1
29,10,1400,1
29,10,1600,1
29,10,1800,1
29,16,800,2
29,16,1000,2
29,16,1200,2
29,16,1400,2
29,16,1600,2
29,16,1800,2
29,17,800,3
29,17,1000,3
29,17,1200,3
29,17,1400,3
29,17,1600,3
29,17,1800,3
29,21,800,2
29,21,1000,2
29,21,1200,2
29,21,1400,2
29,21,1600,2
29,21,1800,2
29,24,800,3
29,24,1000,3
29,24,1200,3
29,24,1400,3
29,24,1600,3
29,24,1800,3
29,25,800,1
29,25,1000,1
29,25,1200,1
29,25,1400,1
29,25,1600,1
29,25,1800,1
29,26,800,3
29,26,1000,3
29,26,1200,3
29,26,1400,3
29,26,1600,3
29,26,1800,3
29,27,800,3
29,27,1000,3
29,27,1200,3
29,27,1400,3
29,27,1600,3
29,27,1800,3
29,29,800,2
29,29,1000,2
29,29,1200,2
29,29,1400,2
29,29,1600,2
29,29,1800,2
29,30,800,1
29,30,1000,1
29,30,1200,1
29,30,1400,1
29,30,1600,1
29,30,1800,1
29,32,800,3
29,32,1000,3
29,32,1200,3
29,32,1400,3
29,32,1600,3
29,32,1800,3
29,34,800,3
29,34,1000,3
29,34,1200,3
29,34,1400,3
29,34,1600,3
29,34,1800,3
29,35,800,3
29,35,1000,3
29,35,1200,3
29,35,1400,3
29,35,1600,3
29,35,1800,3
29,36,800,3
29,36,1000,3
29,36,1200,3
29,36,1400,3
29,36,1600,3
29,36,1800,3
30,1,800,1
30,1,1000,1
30,1,1200,1
30,1,1400,1
30,1,1600,1
30,1,1800,1
30,2,800,3
30,2,1000,3
30,2,1200,3
30,2,1400,3
30,2,1600,3
30,2,1800,3
30,3,800,2
30,3,1000,2
30,3,1200,2
30,3,1400,2
30,3,1600,2
30,3,1800,2
30,4,800,3
30,4,1000,3
30,4,1200,3
30,4,1400,3
30,4,1600,3
30,4,1800,3
31,1,800,1
31,1,1000,1
31,1,1200,1
31,1,1400,1
31,1,1600,1
31,1,1800,1
31,2,800,2
31,2,1000,2
31,2,1200,2
31,2,1400,2
31,2,1600,2
31,2,1800,2
31,3,800,2
31,3,1000,2
31,3,1200,2
31,3,1400,2
31,3,1600,2
31,3,1800,2
31,4,800,2
31,4,1000,2
31,4,1200,2
31,4,1400,2
31,4,1600,2
31,4,1800,2
31,5,800,3
31,5,1000,3
31,5,1200,3
31,5,1400,3
31,5,1600,3
31,5,1800,3
31,6,800,3
31,6,1000,3
31,6,1200,3
31,6,1400,3
31,6,1600,3
31,6,1800,3
31,7,800,3
31,7,1000,3
31,7,1200,3
31,7,1400,3
31,7,1600,3
31,7,1800,3
32,1,800,1
32,1,1000,1
32,1,1200,1
32,1,1400,1
32,1,1600,1
32,1,1800,1
32,2,800,3
32,2,1000,3
32,2,1200,3
32,2,1400,3
32,2,1600,3
32,2,1800,3
32,4,800,3
32,4,1000,3
32,4,1200,3
32,4,1400,3
32,4,1600,3
32,4,1800,3
32,6,800,3
32,6,1000,3
32,6,1200,3
32,6,1400,3
32,6,1600,3
32,6,1800,3
32,7,800,3
32,7,1000,3
32,7,1200,3
32,7,1400,3
32,7,1600,3
32,7,1800,3
32,9,800,2
32,9,1000,2
32,9,1200,2
32,9,1400,2
32,9,1600,2
32,9,1800,2
32,10,800,3
32,10,1000,3
32,10,1200,3
32,10,1400,3
32,10,1600,3
32,10,1800,3
33,1,800,1
33,1,1000,1
33,1,1200,1
33,1,1400,1
33,1,1600,1
33,1,1800,1
33,4,800,2
33,4,1000,2
33,4,1200,2
33,4,1400,2
33,4,1600,2
33,4,1800,2
33,6,800,3
33,6,1000,3
33,6,1200,3
33,6,1400,3
33,6,1600,3
33,6,1800,3
34,1,800,1
34,1,1000,1
34,1,1200,1
34,1,1400,1
34,1,1600,1
34,1,1800,1
34,2,800,2
34,2,1000,2
34,2,1200,2
34,2,1400,2
34,2,1600,2
34,2,1800,2
34,3,800,3
34,3,1000,3
34,3,1200,3
34,3,1400,3
34,3,1600,3
34,3,1800,3
34,4,800,3
34,4,1000,3
34,4,1200,3
34,4,1400,3
34,4,1600,3
34,4,1800,3
34,5,800,2
34,5,1000,2
34,5,1200,2
34,5,1400,2
34,5,1600,2
34,5,1800,2
34,6,800,2
34,6,1000,2
34,6,1200,2
34,6,1400,2
34,6,1600,2
34,6,1800,2
34,7,800,3
34,7,1000,3
34,7,1200,3
34,7,1400,3
34,7,1600,3
34,7,1800,3
34,8,800,3
34,8,1000,3
34,8,1200,3
34,8,1400,3
34,8,1600,3
