Park or Trail,Total by class and day type
1 = Anoka Co Riverfront RP,77253.20
2 = Bunker Hills RP,171657.89
3 = Coon Rapids Dam RP Anoka,182297.19
4 = Lake George RP,101633.96
5 = Martin-Island-Linwood RP,60609.55
6 = Mississippi River RT Anoka,67108.53
7 = Rice Creek West RT Anoka,115546.86
8 = Rice Creek Chain PR,201985.30
9 = Rice Creek North Anoka,61271.12
10 = Rum River Central RP,33575.98
11 = Bush Lake PR,321388.48
12 = Baylor RP,17127.16
13 = Lake Minnewashta RP,64086.96
14 = Lake Waconia RP,41244.27
15 = Big Rivers RT,51664.58
16 = Lake Byllesby RP,46730.60
17 = Lebanon Hills RP,270126.25
18 = Meisville Ravine PR,12649.02
19 = Mississippi River RT Dakota,56390.89
20 = Spring Lake PR Dakota,34523.90
21 = Baker PR,132651.77
22 = Bryant RP,211596.15
23 = Carver PR,109786.08
24 = Clifton French RP,267621.52
25 = Cleary Lake RP,114028.33
26 = Coon Rapids Dam RP Three Rivers,96894.03
27 = Crow Hassan PR,29972.50
28 = Elm Creek PR,454421.31
29 = Medicine Lake RT (East Medicine Lake RT),214734.12
30 = Fish Lake RP,120597.03
31 = Hyland PR,283992.58
32 = Lake Rebecca PR,84992.15
33 = Lake Minnetonka RP,92290.23
34 = Murphy Hanrehan PR,33339.38
35 = Rush Creek RT,89956.72
36 = N Mississippi RP Three Rivers,26234.89
37 = Noerenberg Gardens SRF,20556.44
38 = Scott County RT,78016.53
39 = Lake Minnetonka LRT (SW LRT N RT),177805.41
40 = Minnesota River Bluffs LRT (SW LRT South RT),94493.66
41 = Cedar Lake RT,173674.57
42 = Central Miss Riverfront RP,837078.82
43 = Mpls Chain of Lakes RP,2412537.92
44 = Mississippi Gorge RP MPRB,404834.09
45 = Minnehaha Park RP,800507.06
46 = Minnehaha Parkway RT,589544.61
47 = North Mississippi RP MPRB,167370.69
48 = Nokomis-Hiawatha RP,633248.53
49 = Theodore Wirth RP,261114.49
50 = Wirth Memorial Parkway RT,247267.24
51 = Battle Creek RP,224821.64
52 = Bald Eagle RP,112155.84
53 = Birch Lake RT,23218.08
54 = Bruce Vento RT Ramsey,130033.75
55 = Grass-Vadnais RP,268260.86
56 = Hwy 96 RT - all segments,116616.75
58 = Keller RP,255693.79
59 = Long Lake RP,138449.84
60 = Rice Creek West RT Ramsey,38373.51
61 = Rice Creek North RT Ramsey,42865.28
62 = Bruce Vento RT St Paul,89920.83
63 = Cherokee Heights RP,155612.88
64 = Como RP and SRF,1740359.26
65 = Harriet Island RP,210283.44
66 = Hidden Falls-Crosby RP,159282.84
67 = Indian Mounds RP,150555.86
68 = Mississippi Gorge RP St Paul,558034.70
69 = Sam Morgan RT,171373.59
70 = Phalen RP,425925.75
71 = Cottage Grove Ravine RP,32389.18
72 = Lake Elmo PR,223116.76
73 = St Croix Bluffs RP,46220.42
74 = Square Lake SRF,48826.53
75 = Central Anoka RT,36113.23
76 = Cedar Lake RT (E Hennepin Corridor RT),274725.26
77 = Lake Independence RT (NW Hennepin RT),27569.49
78 = Eagle Lake RP,33413.38
79 = North Cedar Lake RT (Hutchinson Spur RT),164796.15
80 = Gale Woods SRF,40009.65
81 = Hardwood Creek RT,71637.87
82 = Big Marine PR,112618.45
83 = Pine Point RP,43880.89
84 = Silverwood SRF,118932.99
88 = Shingle Creek RT (Three Rivers),97140.99
89 = Luce Line RT,173581.80
90 = St. Anthony Pkwy RT,81089.62
91 = Columbia Pkwy RT,33845.01
92 = Ridgeway Pkwy RT,9446.79
93 = Kenilworth RT,252711.11
94 = Luce Line RT (MPRB),48447.23
95 = River to River Greenway (Formerly North Urban RT),33386.64
96 = Dakota Rail RT (Three Rivers),183168.55
97 = Bassett Creek RT,31515.01
98 = Trout Brook RT,18066.70
99 = Tony Schmidt RP,105845.88
100 = NE Diagonal RT (MPRB),59576.21
101 = NE Diagonal Trail (Three Rivers),20354.37
102 = Cedar Lake Farm RP,15470.84
103 = Shingle Creek RT (MPRB),59500.99
104 = Dakota Rail RT (Carver Co),62590.92
105 = The Landing,1800.00
107 = Coon Creek RT,78238.37
108 = East Anoka County RT,47072.79
109 = Rum River RT,25868.87
110 = Bunker-Chain of Lakes RT,47665.98
111 = Twin Lakes RT,66948.64
112 = Mississippi West RP,12512.96
113 = Minnesota River Bluffs RT,12897.37
114=Spring Lake Park RP (Scott County),30029.91
115=Nine Mile Creek,47996.40
117=Kingsood SRF,486.50
118=Whitetail Woods RP,22734.50
121=Southwest RT,26549.00
130=Trout Brook RT,56288.79
131=Crystal Lake RT,78609.33
132=Nokomis MN River RT,64684.68
