Park or Trail,Total by class and day type
1 = Anoka Co Riverfront RP,75371.39
2 = Bunker Hills RP,195416.63
3 = Coon Rapids Dam RP Anoka,196081.58
4 = Lake George RP,91774.44
5 = Martin-Island-Linwood RP,52556.43
6 = Mississippi River RT Anoka,51844.35
7 = Rice Creek West RT Anoka,125853.39
8 = Rice Creek Chain PR,145879.75
9 = Rice Creek North Anoka,55075.44
10 = Rum River Central RP,28704.10
11 = Bush Lake PR,299848.47
12 = Baylor RP,27307.73
13 = Lake Minnewashta RP,68865.77
14 = Lake Waconia RP,46369.35
15 = Big Rivers RT,52036.89
16 = Lake Byllesby RP,36584.20
17 = Lebanon Hills RP,259248.63
18 = Meisville Ravine PR,12670.69
19 = Mississippi River RT Dakota,32932.87
20 = Spring Lake PR Dakota,44918.73
21 = Baker PR,184777.45
22 = Bryant RP,177181.68
23 = Carver PR,114708.42
24 = Clifton French RP,260755.31
25 = Cleary Lake RP,120384.05
26 = Coon Rapids Dam RP Three Rivers,146318.79
27 = Crow Hassan PR,21964.25
28 = Elm Creek PR,399368.91
29 = Medicine Lake RT (East Medicine Lake RT),231267.88
30 = Fish Lake RP,151580.97
31 = Hyland PR,302985.73
32 = Lake Rebecca PR,86765.20
33 = Lake Minnetonka RP,111083.00
34 = Murphy Hanrehan PR,35488.62
35 = Rush Creek RT,101700.54
36 = N Mississippi RP Three Rivers,25138.05
37 = Noerenberg Gardens SRF,23210.37
38 = Scott County RT,99159.47
39 = Lake Minnetonka LRT (SW LRT N RT),158932.36
40 = Minnesota River Bluffs LRT (SW LRT South RT),95403.62
41 = Cedar Lake RT,178008.20
42 = Central Miss Riverfront RP,925630.75
43 = Mpls Chain of Lakes RP,2331124.85
44 = Mississippi Gorge RP MPRB,428405.75
45 = Minnehaha Park RP,784546.16
46 = Minnehaha Parkway RT,499259.86
47 = North Mississippi RP MPRB,124190.57
48 = Nokomis-Hiawatha RP,620749.42
49 = Theodore Wirth RP,242903.43
50 = Wirth Memorial Parkway RT,245647.45
51 = Battle Creek RP,308459.42
52 = Bald Eagle RP,128966.01
53 = Birch Lake RT,42522.83
54 = Bruce Vento RT Ramsey,162297.02
55 = Grass-Vadnais RP,343747.95
56 = Hwy 96 RT - all segments,192147.43
58 = Keller RP,268795.60
59 = Long Lake RP,157331.70
60 = Rice Creek West RT Ramsey,57991.00
61 = Rice Creek North RT Ramsey,62433.21
62 = Bruce Vento RT St Paul,104911.93
63 = Cherokee Heights RP,167899.72
64 = Como RP and SRF,1769121.57
65 = Harriet Island RP,223091.24
66 = Hidden Falls-Crosby RP,167477.07
67 = Indian Mounds RP,163355.06
68 = Mississippi Gorge RP St Paul,581342.77
69 = Sam Morgan RT,162285.05
70 = Phalen RP,448771.76
71 = Cottage Grove Ravine RP,32103.24
72 = Lake Elmo PR,216669.02
73 = St Croix Bluffs RP,53699.37
74 = Square Lake SRF,40240.53
75 = Central Anoka RT,30125.54
76 = Cedar Lake RT (E Hennepin Corridor RT),251995.80
77 = Lake Independence RT (NW Hennepin RT),25581.12
78 = Eagle Lake RP,36901.93
79 = North Cedar Lake RT (Hutchinson Spur RT),164482.72
80 = Gale Woods SRF,38273.56
81 = Hardwood Creek RT,137850.03
82 = Big Marine PR,126745.26
83 = Pine Point RP,38259.86
84 = Silverwood SRF,107006.69
88 = Shingle Creek RT (Three Rivers),89175.70
89 = Luce Line RT,201235.68
90 = St. Anthony Pkwy RT,85566.41
91 = Columbia Pkwy RT,30519.71
92 = Ridgeway Pkwy RT,8149.45
93 = Kenilworth RT,241548.33
94 = Luce Line RT (MPRB),50675.35
95 = North Urban RT,7191.30
96 = Dakota Rail RT (Three Rivers),210184.14
97 = Bassett Creek RT,40365.26
98 = Trout Brook RT,29077.69
99 = Tony Schmidt RP,131788.23
100 = NE Diagonal RT (MPRB),68594.90
101 = NE Diagonal Trail (Three Rivers),21589.83
102 = Cedar Lake Farm RP,12157.43
103 = Shingle Creek RT (MPRB),51380.05
104 = Dakota Rail RT (Carver Co),48343.68
105 = The Landing,2690.00
107 = Coon Creek RT,52981.07
108 = East Anoka County RT,33997.83
109 = Rum River RT,24491.98
110 = Bunker-Chain of Lakes RT,34104.65
111 = Twin Lakes RT,72980.68
112 = Mississippi West RP,9511.06
113 = Minnesota River Bluffs RT,6307.26
114=Spring Lake Park RP (Scott County),27113.61
115=Nine Mile Creek,49296.37
121=Southwest RT,27584.27
