Park or Trail,Total by class and day type
1 = Anoka Co Riverfront RP,89808.01
2 = Bunker Hills RP,169022.72
3 = Coon Rapids Dam RP Anoka,203079.81
4 = Lake George RP,96575.70
5 = Martin-Island-Linwood RP,54998.33
6 = Mississippi River RT Anoka,44352.09
7 = Rice Creek West RT Anoka,114211.65
8 = Rice Creek Chain PR,132885.02
9 = Rice Creek North Anoka,47220.78
10 = Rum River Central RP,31694.82
11 = Bush Lake PR,319803.36
12 = Baylor RP,28374.02
13 = Lake Minnewashta RP,73706.45
14 = Lake Waconia RP,48202.74
15 = Big Rivers RT,50353.27
16 = Lake Byllesby RP,37962.57
17 = Lebanon Hills RP,223859.57
18 = Meisville Ravine PR,19924.42
19 = Mississippi River RT Dakota,26893.88
20 = Spring Lake PR Dakota,41866.23
21 = Baker PR,176244.96
22 = Bryant RP,177390.12
23 = Carver PR,103897.97
24 = Clifton French RP,248395.46
25 = Cleary Lake RP,111098.80
26 = Coon Rapids Dam RP Three Rivers,165727.00
27 = Crow Hassan PR,17121.27
28 = Elm Creek PR,394023.94
29 = Medicine Lake RT (East Medicine Lake RT),217357.34
30 = Fish Lake RP,154727.31
31 = Hyland PR,274883.03
32 = Lake Rebecca PR,95450.13
33 = Lake Minnetonka RP,111031.12
34 = Murphy Hanrehan PR,31776.91
35 = Rush Creek RT,111943.43
36 = N Mississippi RP Three Rivers,22128.25
37 = Noerenberg Gardens SRF,23496.89
38 = Scott County RT,103883.87
39 = Lake Minnetonka LRT (SW LRT N RT),156566.65
40 = Minnesota River Bluffs LRT (SW LRT South RT),103934.26
41 = Cedar Lake RT,168764.21
42 = Central Miss Riverfront RP,842322.80
43 = Mpls Chain of Lakes RP,2151108.06
44 = Mississippi Gorge RP MPRB,466262.92
45 = Minnehaha Park RP,691849.36
46 = Minnehaha Parkway RT,555445.05
47 = North Mississippi RP MPRB,110788.60
48 = Nokomis-Hiawatha RP,660941.40
49 = Theodore Wirth RP,206294.60
50 = Wirth Memorial Parkway RT,249473.12
51 = Battle Creek RP,351753.71
52 = Bald Eagle RP,122752.24
53 = Birch Lake RT,42495.28
54 = Bruce Vento RT Ramsey,157204.01
55 = Grass-Vadnais RP,348872.53
56 = Hwy 96 RT - all segments,224023.49
58 = Keller RP,255569.00
59 = Long Lake RP,158488.53
60 = Rice Creek West RT Ramsey,65870.02
61 = Rice Creek North RT Ramsey,74788.98
62 = Bruce Vento RT St Paul,99856.82
63 = Cherokee Heights RP,155647.52
64 = Como RP and SRF,1903804.35
65 = Harriet Island RP,225262.36
66 = Hidden Falls-Crosby RP,204736.16
67 = Indian Mounds RP,159287.85
68 = Mississippi Gorge RP St Paul,491637.59
69 = Sam Morgan RT,155846.63
70 = Phalen RP,471650.70
71 = Cottage Grove Ravine RP,34577.42
72 = Lake Elmo PR,200732.92
73 = St Croix Bluffs RP,57202.52
74 = Square Lake SRF,35524.80
75 = Central Anoka RT,25372.18
76 = Cedar Lake RT (E Hennepin Corridor RT),222734.81
77 = Lake Independence RT (NW Hennepin RT),21894.57
78 = Eagle Lake RP,32729.81
79 = North Cedar Lake RT (Hutchinson Spur RT),157929.60
80 = Gale Woods SRF,39457.64
81 = Hardwood Creek RT,163892.44
82 = Big Marine PR,130538.12
83 = Pine Point RP,38634.76
84 = Silverwood SRF,114590.85
88 = Shingle Creek RT (Three Rivers),68972.10
89 = Luce Line RT,184573.54
90 = St. Anthony Pkwy RT,82977.11
91 = Columbia Pkwy RT,33629.27
92 = Ridgeway Pkwy RT,7454.08
93 = Kenilworth RT,225036.92
94 = Luce Line RT (MPRB),56154.46
95 = North Urban RT,7875.50
96 = Dakota Rail RT (Three Rivers),198781.57
97 = Bassett Creek RT,40275.82
98 = Trout Brook RT,36518.48
99 = Tony Schmidt RP,138506.12
100 = NE Diagonal RT (MPRB),72941.50
101 = NE Diagonal Trail (Three Rivers),20070.33
102 = Cedar Lake Farm RP,16130.85
103 = Shingle Creek RT (MPRB),50827.06
104 = Dakota Rail RT (Carver Co),46448.68
105 = The Landing,
107 = Coon Creek RT,47035.94
108 = East Anoka County RT,31034.58
109 = Rum River RT,23043.99
110 = Bunker-Chain of Lakes RT,32838.60
111 = Twin Lakes RT,71577.61
112 = Mississippi West RP,9211.42
113 = Minnesota River Bluffs RT,5672.00
114=Spring Lake Park RP (Scott County),26082.82
115=Nine Mile Creek,46554.93
