Park or Trail,Total by class and day type
1 = Anoka Co Riverfront RP,77935.08
2 = Bunker Hills RP,182104.08
3 = Coon Rapids Dam RP Anoka,193725.44
4 = Lake George RP,88122.04
5 = Martin-Island-Linwood RP,60718.82
6 = Mississippi River RT Anoka,61281.08
7 = Rice Creek West RT Anoka,125203.97
8 = Rice Creek Chain PR,166170.24
9 = Rice Creek North Anoka,63732.03
10 = Rum River Central RP,30781.38
11 = Bush Lake PR,278749.73
12 = Baylor RP,21216.73
13 = Lake Minnewashta RP,68821.02
14 = Lake Waconia RP,41087.19
15 = Big Rivers RT,44373.81
16 = Lake Byllesby RP,46470.56
17 = Lebanon Hills RP,238519.53
18 = Meisville Ravine PR,11880.67
19 = Mississippi River RT Dakota,41506.17
20 = Spring Lake PR Dakota,38250.19
21 = Baker PR,169594.48
22 = Bryant RP,197848.29
23 = Carver PR,116774.41
24 = Clifton French RP,260920.79
25 = Cleary Lake RP,98877.54
26 = Coon Rapids Dam RP Three Rivers,116169.32
27 = Crow Hassan PR,24698.83
28 = Elm Creek PR,420810.87
29 = Medicine Lake RT (East Medicine Lake RT),240078.76
30 = Fish Lake RP,147376.96
31 = Hyland PR,313788.86
32 = Lake Rebecca PR,79816.77
33 = Lake Minnetonka RP,96841.23
34 = Murphy Hanrehan PR,32610.51
35 = Rush Creek RT,108416.70
36 = N Mississippi RP Three Rivers,26689.25
37 = Noerenberg Gardens SRF,21884.52
38 = Scott County RT,90824.59
39 = Lake Minnetonka LRT (SW LRT N RT),167479.47
40 = Minnesota River Bluffs LRT (SW LRT South RT),92802.52
41 = Cedar Lake RT,187878.40
42 = Central Miss Riverfront RP,850084.09
43 = Mpls Chain of Lakes RP,2166861.79
44 = Mississippi Gorge RP MPRB,445568.26
45 = Minnehaha Park RP,797071.69
46 = Minnehaha Parkway RT,545731.26
47 = North Mississippi RP MPRB,151571.62
48 = Nokomis-Hiawatha RP,633881.57
49 = Theodore Wirth RP,234720.80
50 = Wirth Memorial Parkway RT,244196.93
51 = Battle Creek RP,229675.46
52 = Bald Eagle RP,117681.22
53 = Birch Lake RT,39804.99
54 = Bruce Vento RT Ramsey,126901.64
55 = Grass-Vadnais RP,308432.02
56 = Hwy 96 RT - all segments,131616.38
58 = Keller RP,266822.31
59 = Long Lake RP,156086.50
60 = Rice Creek West RT Ramsey,45917.91
61 = Rice Creek North RT Ramsey,51420.86
62 = Bruce Vento RT St Paul,99177.12
63 = Cherokee Heights RP,151023.31
64 = Como RP and SRF,1764066.37
65 = Harriet Island RP,214850.56
66 = Hidden Falls-Crosby RP,172360.81
67 = Indian Mounds RP,159189.29
68 = Mississippi Gorge RP St Paul,573571.15
69 = Sam Morgan RT,167551.95
70 = Phalen RP,428915.70
71 = Cottage Grove Ravine RP,30379.31
72 = Lake Elmo PR,240617.60
73 = St Croix Bluffs RP,44295.15
74 = Square Lake SRF,45324.36
75 = Central Anoka RT,33365.44
76 = Cedar Lake RT (E Hennepin Corridor RT),280102.98
77 = Lake Independence RT (NW Hennepin RT),26996.59
78 = Eagle Lake RP,32585.02
79 = North Cedar Lake RT (Hutchinson Spur RT),159080.25
80 = Gale Woods SRF,42070.85
81 = Hardwood Creek RT,95994.83
82 = Big Marine PR,98192.18
83 = Pine Point RP,43174.89
84 = Silverwood SRF,103161.34
88 = Shingle Creek RT (Three Rivers),109758.21
89 = Luce Line RT,190123.22
90 = St. Anthony Pkwy RT,89117.85
91 = Columbia Pkwy RT,33738.39
92 = Ridgeway Pkwy RT,9268.75
93 = Kenilworth RT,235269.26
94 = Luce Line RT (MPRB),50379.79
95 = River to River Greenway (Formerly North Urban RT),7575.29
96 = Dakota Rail RT (Three Rivers),217528.91
97 = Bassett Creek RT,40121.60
98 = Trout Brook RT,19032.64
99 = Tony Schmidt RP,120472.94
100 = NE Diagonal RT (MPRB),66623.83
101 = NE Diagonal Trail (Three Rivers),20723.18
102 = Cedar Lake Farm RP,15053.45
103 = Shingle Creek RT (MPRB),56575.43
104 = Dakota Rail RT (Carver Co),58441.25
105 = The Landing,3000.00
107 = Coon Creek RT,67945.77
108 = East Anoka County RT,39134.31
109 = Rum River RT,22724.64
110 = Bunker-Chain of Lakes RT,39767.78
111 = Twin Lakes RT,77831.04
112 = Mississippi West RP,9104.64
113 = Minnesota River Bluffs RT,6552.98
114=Spring Lake Park RP (Scott County),30159.57
115=Nine Mile Creek,49116.13
117=Kingsood SRF,415.06
118=Whitetail Woods RP,20702.19
121=Southwest RT,29001.89
